,tweet,label
27,"['nawe', 'yabuze', 'icyo', 'yimarira', 'ahitamo', 'kwangara', 'wumva', 'hari', 'undi', 'yagira', 'icyo', 'america', 'kweli', 'wapi']",negative
28,"['narumiwe', 'ubwo', 'umaze', 'kurya', 'milliards', 'zingahe']",negative
29,"['umuyobozi', 'nshaka', 'rapport', 'yabapfakazi', 'mu', 'kagari', 'uyobora', 'kanyana', 'abapfa', 'mukagari', 'nyobora', 'ni']",negative
30,"['ubwo', 'c', 'woe', 'umuntu', 'uryama', 'nta', 'musego', 'akamara', 'umwaka', 'wose', 'ijosi', 'ari', 'rizima', 'urumva', 'aba', 'yoroshye', 'mn']",negative
31,"['sinkuza', 'umusatsi', 'ndetse', 'mu', 'mutwe', 'mu', 'mutwe', 'niho', 'bipfira', 'nigga', 'si', 'kumutwe', 'batazagirango', 'nyamirambo']",negative
32,"['ukumva', 'girlfriend', 'arakubwiye', 'ngo', 'niwohereza', 'ushyireho', 'ayo', 'gukata', 'dear', 'ladies', 'mutubabarire', 'kbx']",negative
33,"['nubwo', 'imana', 'igira', 'inzira', 'zirenze', 'iyo', 'ntayirimo']",negative
34,"['uko', 'imana', 'igenda', 'itinda', 'mbona', 'izacyura', 'ubusa']",negative
35,"['arko', 'buriya', 'abantu', 'babyutse', 'bakora', 'unfollow', 'niki', 'babyutse', 'banywa', 'ego', 'baba']",negative
36,"['mbateze', 'iminsi', 'ye', 'urabeshyera', 'ubusa', 'mwe', 'muzareke', 'gupfa', 'ibindi', 'byo', 'nzababona']",negative
37,"['nyuma', 'yo', 'kunkwera', 'mu', 'gisimenti', 'yibagiwe', 'password']",negative
38,"['ese', 'niki', 'giha', 'uburenganzira', 'gukura', 'amafaranga', 'kuri', 'konti', 'yumuntu', 'uko', 'bishakiye', 'igihe', 'bashakiye', 'rwot']",negative
39,"['ibitagira', 'abakuru', 'birumba', 'ari', 'indaru', 'indaro', 'ariko', 'kandi', 'igihugu', 'kiramutse', 'kidafite', 'abato', 'bacyo', 'cyakwizera', 'kurimbuka', 'vuba', 'bidashidikanywaho']",negative
40,"['bati', 'gahunda', 'ni', 'gukemura', 'ikibazo', 'cyubushomeri', 'mu', 'rubyiruko', 'ese', 'ubushomeri', 'buri', 'mu', 'rubyiruko', 'gusa', 'cg', 'hari', 'nabakuze', 'babuze', 'imirimo']",negative
41,"['aha', 'ntacyo', 'yabona', 'yirangayeho']",negative
42,"['ese', 'nk', 'abantu', 'bareba', 'tweet', 'yawe', 'ntibanaguhe', 'like', 'ibu', 'ari', 'amafaranga', 'ibatse', 'yo', 'bayaguha']",negative
43,"['chry', 'yayanyatse', 'ngo', 'ntayasesagura', 'ngo', 'ubwo', 'ntangiye', 'kuyarata', 'ngo', 'yagiye']",negative
44,"['uravuze', 'ngo', 'ibya', 'kovidi', 'kubyumva', 'bisaba', 'kwitandukanya', 'nubwenge']",negative
45,"['niba', 'unyanga', 'uriguta', 'umwanyakereka', 'amafaranga', 'anyanzeahhooo', 'naborogaaaaaa']",negative
46,"['erega', 'nawe', 'twamufashe', 'nabi', 'cyane', 'tumushyira', 'inyuma', 'ya', 'ferabeto']",negative
47,"['yego', 'nkufata', 'uko', 'utari', 'kbs', 'kuko', 'nkufata', 'nk', 'umukobwa']",negative
48,"['iki', 'nicyo', 'gituma', 'mwitwa', 'gahuza', 'miryango', 'cg', 'nibwo', 'budasa', 'bwa', 'bbc', 'mukomeje', 'gusenya', 'benshi', 'aho', 'kubahuza', 'intego', 'yarahindutse', 'murananiwe']",negative
49,"['komperuka', 'ariho', 'wavukiye', 'se', 'ababyeyi', 'bawe', 'banze', 'kwishyura', 'imisoro', 'ngo', 'babazanire', 'ibikorwa', 'remezo']",negative
50,"['wa', 'nkozi', 'y', 'ibibi', 'we', 'umwanzi', 'w', 'imana']",negative
51,"['ariko', 'narumiwe', 'koko', 'ubonye', 'avi', 'yange', 'uhita', 'umpa', 'umaze', 'kumenya', 'ko', 'ari', 'ngewe', 'uhita', 'umanura', 'ndumiwe', 'koko']",negative
52,"['bisanzwe', 'bizwi', 'nubundi', 'ko', 'ferwafa', 'ikora', 'nabi', 'wagira', 'ngoyo', 'na', 'reb', 'biba', 'biri', 'kurushanwa']",negative
53,"['sinatereta', 'umukobwa', 'utazi', 'gutandukanya', 'gutandukanya', 'ibihekane', 'nt', 'na', 'nd']",negative
54,"['kwirarira', 'ni', 'bibi', 'man']",negative
55,"['mivow', 'by', 'views', 'ariko', 'still', 'gahunda', 'ni', 'ntakudohoka', 'views', 'ni', 'ubusa', 'shaaaa']",negative
56,"['harimo', 'ubugome', 'bukabije', 'ni', 'uko', 'utabonye', 'igiti', 'ajya', 'azirikiraho', 'abantu', 'nakibonye', 'muri', 'tweet', 'ya', 'ndumirwa']",negative
57,"['negg', 'arahacanye', 'haraka', 'pfla', 'yarankanze', 'mpita', 'mutinyankubise', 'misire', 'hasi', 'kandi', 'ntacyo', 'bari', 'buntware', 'reba', 'hano', 'ikiganiro', 'cyose']",negative
58,"['abanyarwanda', 'bataye', 'umuco', 'wo', 'kutareba', 'ibitabareba', 'none', 'basigaye', 'batekereza', 'nibitabareba', 'ahaaaaa']",negative
59,"['yarangiza', 'ngo', 'ni', 'mutimucyeye', 'apuuuu']",negative
60,"['simbonax', 'arihamwe', 'mugikari', 'cyabo', 'ahubwo', 'ayo', 'maso', 'yae', 'agenda', 'areba', 'hejuru']",negative
61,"['ariko', 'ngo', 'ntakintu', 'kiryoha', 'nka', 'morning', 'sex', 'aba', 'bikoze', 'badusangize', 'kur', 'experience']",negative
62,"['ni', 'nko', 'guterwa', 'nimbeba', 'ugacirira', 'urukwavu', 'ngo', 'ruzikwirukanire', 'mu', 'nzu']",negative
63,"['nonex', 'nawe', 'uradutengushye']",negative
64,"['cyaze', 'kabisa', 'abasenzi', 'barakubeshya', 'ugashiduka', 'shwiii', 'bagukozemo', 'akazi', 'ako', 'ubu', 'narabamenye']",negative
65,"['les', 'jurons', 'que', 'jai', 'encaiss', 'last', 'night', 'iyo', 'ibitutsi', 'biba', 'byica', 'mba', 'napfuye', 'nkazuka', 'nkongera', 'ngapfa']",negative
66,"['arkox', 'inkoko', 'izsrwana', 'ninkoko', 'nimurangiza', 'muvugengo', 'iyo', 'nkoko', 'irarenze', 'mwage', 'mureka', 'kureba', 'hafi', 'koko', 'mukareba', 'kure']",negative
67,"['umuvandimwe', 'aho', 'bukera', 'araza', 'kurwara', 'akadege']",negative
68,"['nawe', 'ba', 'umwiyahuzi', 'ntacyo']",negative
69,"['muge', 'mureka', 'kuvuga', 'ubusa', 'nyirubwite', 'yivugiye', 'uburyo', 'abana', 'be', 'bize', 'woe', 'ubivuguruza', 'uri', 'nkande', 'ibinyoma', 'nibyo', 'muzi', 'gusa']",negative
70,"['nonese', 'nimba', 'amazi', 'amaze', 'ibyumweru', 'ataza', 'ubu', 'koko', 'ayo', 'koga', 'yavahe']",negative
71,"['ark', 'abakobwa', 'bakunda', 'cash', 'narindikumwe', 'na', 'chr', 'ikijyama', 'kimukubita', 'aka', 'message', 'ka', 'momo', 'none', 'ahise', 'ambazango', 'nitwande', 'sha']",negative
72,"['uwo', 'musaza', 'ra', 'ko', 'numva', 'uwamwegereza', 'abafeminists', 'bamukurugutura']",negative
73,"['kubera', 'kureba', 'cyne', 'ibibazo', 'byisi', 'ijisho', 'ryaracuramye', 'ndaq']",negative
74,"['mwaramutse', 'neza', 'mudufashe', 'ko', 'turimo', 'gukatwa', 'amafaranga', 'igihe', 'nkuye', 'amafaranga', 'kuri', 'momo', 'nyashyira', 'kuri', 'konte', 'bimeze', 'bite', 'ko', 'bidasobanutse']",negative
75,"['harigihe', 'wibwira', 'ko', 'uri', 'gutwika', 'nyamara', 'uri', 'gushiririza']",negative
76,"['my', 'a', 'good', 'fool', 'advice', 'buy', 'harlotindaya', 'nisawa', 'izaguha', 'byose', 'umugera', 'na', 'sida']",negative
77,"['gusondeka', 'mumyubakire', 'ya', 'wassac', 'mugihe', 'cyumunsi', 'umwe', 'kko']",negative
78,"['biracyenewe', 'cyane', 'ko', 'hagira', 'igikorwa', 'kugihombo', 'dukomeza', 'guterwa', 'nimikorere', 'idahwitse', 'ya', 'birakabije', 'kubera', 'iki', 'ntacyo', 'mubikoraho']",negative
79,"['mbyutse', 'numva', 'umunwa', 'uri', 'kurya', 'mwa', 'bantu', 'mwe', 'ndumva', 'nawukwedurira', 'kubantu']",negative
80,"['man', 'uzi', 'ko', 'naringiye', 'kumwitexa', 'mwohereza', 'imitomo', 'ama', 'sms', 'kumbi', 'nuko', 'narinshonje', 'gusa']",negative
81,"['ahaa', 'hari', 'abantu', 'iyo', 'batabanje', 'kwifata', 'ku', 'gahanga', 'batandika', 'ngo', 'baba', 'bashaka', 'guha', 'umuntu', 'ibye', 'tugire', 'tuti', 'sigaho']",negative
82,"['arazireba', 'gusa', 'ni', 'umukunzi', 'wa', 'messi', 'i', 'mean', 'nikimwe', 'nkabandi', 'bazi', 'ko', 'the', 'world', 'revolves', 'around', 'messi']",negative
83,"['youtubers', 'content', 'noneho', 'namenya', 'ibyo', 'ababahungu', 'bamukoreye', 'arava', 'mu', 'iyangaza', 'makuru']",negative
84,"['cyakoza', 'harinabantu', 'badakunda', 'bagenzi', 'bababo', 'reba', 'ukuntu', 'uyumushinwa', 'akubita', 'umunyarwanda', 'mugenziwe', 'areba', 'rukara', 'yari', 'intwari', 'peee']",negative
85,"['njyewe', 'yamfashije', 'kwica', 'gahunda', 'yo', 'kwiga']",negative
86,"['wa', 'mugabo', 'yatugarutsemo', 'ndaq']",negative
87,"['sukwirata', 'pe', 'gusa', 'iyo', 'bampamagaje', 'android', 'nkavugira', 'kuri', 'phone', 'umwanya', 'munini', 'bintera', 'allergie', 'zo', 'kunuka', 'mukwaha']",negative
88,"['ninshingano', 'zumugabo', 'kugaburira', 'no', 'gutanga', 'umugorewe', 'kubera', 'ko', 'ubwo', 'umugore', 'aheruka', 'kugaburira', 'umugabo', 'twahise', 'twirukanwa', 'muri', 'edeni']",negative
89,"['ni', 'ukuri', 'ikirunga', 'cya', 'nyiragongo', 'kiri', 'kuruka']",negative
90,"['nahita', 'niha', 'akazi', 'mu', 'kigo', 'runaka', 'ariko', 'gikaze', 'kajyanye', 'na', 'carrier', 'ngahita', 'negura', 'ibaze', 'urwego', 'rwubushomeri', 'ndiho']",negative
91,"['yigize', 'igisambo', 'ku', 'ngufu', 'kand', 'izo', 'yibye', 'zigira', 'likes', 'gusa']",negative
92,"['ari', 'ukuhira', 'igiti', 'm', 'mvura', 'n', 'kwinyarira', 'm', 'mvura', 'ubusazi', 'cyane', 'n', 'ubuhe', 'ur', 'opinions', 'plz']",negative
93,"['ese', 'kubera', 'iki', 'wumva', 'wakwishimira', 'kurya', 'ibitaribyawe', 'nkaho', 'nyirabyo', 'atakiriho', 'nabe', 'bose', 'bashizeho', 'pole', 'murindahabi', 'irene']",negative
94,"['hari', 'igihe', 'uzarara', 'hanze', 'uziko', 'ari', 'za', 'blagues']",negative
95,"['ni', 'ikibazo', 'mu', 'kiganiro', 'twaherutse', 'kugirana', 'batubwiye', 'ko', 'ibi', 'byose', 'bigenzurwa', 'abatabyubahiriza', 'bigenda', 'bite', 'aba', 'bantu', 'bitabweho', 'pe']",negative
96,"['umwana', 'wumushi', 'niviriye', 'mugihano', 'twitter', 'yari', 'yampaye', 'kubera', 'ubuhone', 'none', 'nje', 'mbona', 'umusore', 'wigikuri', 'all', 'over', 'nibikibijya', 'mbere']",negative
97,"['mfite', 'ubwoba', 'ko', 'murugo', 'nihafatwa', 'ninkongi', 'yumuriro', 'nka', 'vugango', 'murugo', 'harahiye', 'abantu', 'bazansubiza', 'ngo', 'hadashya', 'se']",negative
98,"['ni', 'igitekerezo', 'namuhaga', 'man', 'cga', 'atangire', 'anywa', 'amazi', 'ya', 'battery']",negative
99,"['nuwuhe', 'mu', 'mukobwa', 'wahano', 'mubona', 'ushaje', 'tumurangire', 'umugabo', 'kandi', 'wumukire', 'utazi', 'gutereta', 'wumve', 'ngo', 'mfite', 'sure', 'deal', 'irenze']",negative
100,"['ariko', 'akokanu', 'ngo', 'inyebebe', 'unyujijemo', 'sisawa', 'wangu']",negative
101,"['wisanga', 'buriwese', 'agutuka', 'then', 'nawe', 'ukumva', 'ko', 'warengereye']",negative
102,"['uyu', 'mwana', 'numuhanaga', 'ariko', 'yumva', 'nabi', 'mbanze', 'behavior', 'zero', 'all', 'terms']",negative
103,"['birashoboka', 'se', 'ko', 'nayibona', 'nubwo', 'yanshuka', 'ko', 'aho', 'ngeze', 'nkeneye', 'ninkingi', 'ya', 'shugamami', 'ibyo', 'nigira', 'byose', 'nkeneye', 'shugamami']",negative
104,"['nabuzwa', 'niki', 'nukuntu', 'mwakoze', 'inama', 'mutagitanga', 'lift', 'se', 'urumva', 'kurakara', 'bidafite', 'ishingiro']",negative
105,"['ariko', 'abantu', 'basigaye', 'barabaye', 'ibibwa', 'kweliii', 'inyogo', 'ye', 'abantu', 'ko', 'babitangariye', 'si', 'ikinyarwanda', 'puuuuuuuuu', 'mwabibwamwe']",negative
106,"['nukuri', 'sinarinziko', 'kugira', 'uburambe', 'uri', 'single', 'bigera', 'ukibagirwa', 'harya', 'how', 'to', 'spell', 'relesionsheep']",negative
107,"['ihangane', 'umunsi', 'umwe', 'tuzapfa', 'twibagirwe', 'agahinda', 'iyi', 'si', 'idutera']",negative
108,"['ntago', 'ari', 'bubisome', 'wikwirushya', 'bro']",negative
109,"['uzashake', 'uwo', 'utera', 'inda', 'none', 'se', 'ko', 'wanze', 'ko', 'bayigutera', 'urumva', 'umwana', 'azavahe']",negative
110,"['iyahure', 'sha', 'ntihagire', 'ukubeshya', 'ngo', 'ubireke']",negative
111,"['nta', 'wanyoye', 'inka', 'ugira', 'umunabi', 'cg', 'ngo', 'abe', 'ikigwari', 'cg', 'se', 'ngo', 'abe', 'igifura']",negative
112,"['nyuma', 'ya', 'dore', 'undi', 'musore', 'ushaka', 'kumenya', 'agasimba', 'basa', 'cyane', 'cyane', 'mumaso']",negative
113,"['ese', 'ni', 'gute', 'inyama', 'zihabwa', 'uburenganzira', 'bwo', 'gukomeza', 'gucuruzwa', 'kandi', 'amatungo', 'akirwara', 'byo', 'gushyingurwa', 'ruhangodistrict']",negative
114,"['uyu', 'musaza', 'nahuye', 'nawe', 'agenda', 'mbona', 'uko', 'agenda', 'biteye', 'agahinda', 'ubushake', 'numuhate', 'afite', 'agenda', 'gushaka', 'icyamubeshaho', 'rwose', 'arababaje']",negative
115,"['ubundi', 'usibye', 'ubujajwa', 'muri', 'douche', 'uburi', 'kuririmbira', 'nde']",negative
116,"['iyaba', 'bumvagango', 'amafuti', 'yabo', 'ninabwo', 'bugabo', 'hhhhhh']",negative
117,"['jya', 'wisubiraho', 'kandi', 'wonse', 'umwana', 'ureke', 'ubuntu', 'bumeze', 'nkubujajwa', 'bwo', 'kuvugw', 'ko', 'wanze', 'konsa', 'umwana']",negative
118,"['muri', 'space', 'umuntu', 'abaye', 'muted', 'none', 'haruvuzengo', 'mu', 'myuture']",negative
119,"['let', 'be', 'your', 'hero', 'wamukobwa', 'nateretaga', 'mubwirako', 'tuzakora', 'marriage', 'nsoje', 'kwiga', 'ubu', 'yakwigira', 'ahandi', 'ndabona', 'ntazasoza']",negative
120,"['ikibazo', 'ni', 'aging', 'ubwo', 'hibajijwe', 'uko', 'umwana', 'yafashe', 'umuntu', 'mukuru', 'vs']",negative
121,"['kandi', 'ntazinda', 'ni', 'naryo', 'ryakunshoborera', 'dore', 'nabonye', 'usigaye', 'ungana', 'nicyogere', 'mu', 'nkuba', 'ntumubwire']",negative
122,"['gerald', 'pique', 'yagize', 'ikibazo', 'cyimvune', 'igihe', 'azamara', 'hanze', 'yikibuga', 'ntabwo', 'kirakenyekana', 'fm']",negative
123,"['inzangano', 'hagati', 'yimiryango', 'ikaba', 'iravutse', 'maze', 'abana', 'bakahatikira', 'weeee']",negative
124,"['yashakaga', 'ayo', 'kujyana', 'ikuzimu', 'nako', 'kugismentidore', 'haburaga', 'na', 'masaha', 'make', 'ngo', 'dushoke']",negative
125,"['ndabyemeye', 'uri', 'imbuah', 'kundusha']",negative
126,"['amabyise', 'ya', 'shitani', 'abasate', 'konjye', 'ntakoresha', 'toilet', 'hamwe', 'nasatani']",negative
127,"['ugasanga', 'umuntu', 'afite', 'ibibazo', 'isi', 'yamureye', 'na', 'we', 'yarangiza', 'ntiyibabarire', 'akiyongereraho', 'ibindi']",negative
128,"['nta', 'nubwo', 'numva', 'ko', 'minister', 'yakosora', 'ikibonezamvugo', 'kuri', 'tweeter', 'keretse', 'niba', 'hari', 'ubuntu', 'butumwa', 'yazimije']",negative
129,"['ndumiwe', 'koko', 'byaba', 'ari', 'bimwe', 'bita', 'gukosoza', 'icyaha', 'ikindi', 'ariko', 'ikigaragara', 'nuko', 'ibi', 'birenze', 'kuba', 'ubuhotozi']",negative
130,"['cg', 'igikwe', 'cyarapfuye', 'agnes', 'yamuteye', 'uwinyuma', 'none', 'atangiye', 'kuvugishwa', 'namenya', 'ko', 'ntabidashira', 'kuko', 'umurindi', 'bari', 'bazanye', 'bahorana', 'sinz']",negative
131,"['none', 'se', 'abaginga', 'baba', 'bazi', 'ko', 'kubafollowinga', 'batagira', 'na', 'joies', 'bimariye', 'ikibbo', 'batamfollowinga']",negative
132,"['cyane', 'rwose', 'kuri', 'bo', 'twahora', 'dushwana', 'cyane', 'ko', 'guhunga', 'kwacu', 'no', 'gupfa', 'kwacu', 'byo', 'bitabarwa', 'nabo']",negative
133,"['nari', 'nicaye', 'ahantu', 'numva', 'umwana', 'abajije', 'nyina', 'ngo', 'mbese', 'kunyara', 'bisobanuye', 'ik', 'kugeza', 'nanubu', 'ntabwo', 'aramusubiza', 'ndakomeza', 'mbahe', 'amakuru']",negative
134,"['urayireka', 'ikisararanga', 'ubundi', 'ikikubura', 'da', 'bitabaye', 'ibyo', 'wamara', 'amabuye']",negative
135,"['iyo', 'nzi', 'bita', 'gutyo', 'jrashonje', 'ntiyamara', 'abandi', 'inzara', 'ngo', 'yiyibagirwe', 'umunsi', 'uratinze', 'ngo', 'tuyikure', 'mu', 'bibuga', 'burundu']",negative
136,"['woga', 'burimunsi', 'se', 'uri', 'unugore', 'mn']",negative
137,"['ntabwo', 'nakunze', 'decoration', 'yaho', 'abayobozi', 'bahagarara', 'bavuga', 'ijambo', 'muri', 'women', 'forum', 'byasaga', 'nabi', 'rwose', 'cg', 'namaso', 'yanjye', 'atabona', 'neza']",negative
138,"['uyu', 'ni', 'umugome', 'ruharwa', 'sicyo', 'cyabiteye', 'kuko', 'burya', 'numusazi', 'atinya', 'nyina']",negative
139,"['nawe', 'harimo', 'ubwenge', 'wabyumva', 'ko', 'amabuye', 'arimo', 'kko']",negative
140,"['sinkugwa', 'no', 'mu', 'ntege', 'nkugwa', 'mu', 'dutsinsino', 'maze']",negative
141,"['nuko', 'hasuzuguwe', 'umugore', 'ntanubwo', 'ari', 'ugusuzugura', 'ni', 'ugupfobya']",negative
142,"['ukwo', 'ni', 'ukwigwizaho', 'no', 'kwikunda']",negative
143,"['gtgusamba', 'gtgasambagurika', 'ubu', 'noneho', 'nakumva', 'impamvu', 'babyita', 'gusambana', 'murabehoe']",negative
144,"['aba', 'bana', 'bombi', 'barangana', 'bose', 'bafite', 'amazi', 'icyenda', 'gusa', 'uko', 'mbibona', 'uyumwana', 'winka', 'ntiyoroshye']",negative
145,"['ko', 'mutanyotsa', 'umunwa', 'ccg', 'igihe', 'cyanjye', 'ntabwo', 'kirageraingo']",negative
146,"['nta', 'ntego', 'numva', 'umuntu', 'yaba', 'afite', 'ku', 'buryo', 'yatangira', 'akazi', 'kuri', 'ans']",negative
147,"['niba', 'umeze', 'neza', 'ibyo', 'birakureba', 'twebwe', 'ntago', 'tumeze', 'neza', 'ntanubwo', 'bidushimishije']",negative
148,"['niba', 'bafite', 'ubwoba', 'nibivugire', 'ubwo', 'nibo', 'bazi', 'nikibubatera', 'ariko', 'ubwo', 'bwoba', 'bibudutwerera', 'twese']",negative
149,"['ariko', 'se', 'bigenda', 'bite', 'ngo', 'umuntu', 'yitumire', 'ku', 'meza', 'yanjye', 'nta', 'gahunda', 'dufitanye', 'yumve', 'ko', 'nza', 'kumwishyurira']",negative
150,"['uwuzuye', 'ubuyoka', 'no', 'mumaso', 'biragaragara']",negative
151,"['wahora', 'niki', 'ko', 'ntanamenye', 'aho', 'wabereye', 'umunsi', 'wumuganura', 'niwo', 'munsi', 'nahuriyemo', 'ninzara', 'iteye', 'ubwoba']",negative
152,"['ibintu', 'byambere', 'bitesha', 'umutwe', 'ni', 'uruhinjaurukundo', 'na', 'retake', 'sasetu']",negative
153,"['buriya', 'nonese', 'na', 'service', 'zibyiciro', 'ziba', 'ku', 'irembo', 'harimo', 'poor', 'service', 'mu', 'byiciro']",negative
154,"['kwa', 'kundi', 'abakobwa', 'bateye', 'nabi', 'bitera', 'ibirungo', 'byinshi', 'gtgtgtgtgtgtgtgtgtgtgtgt']",negative
155,"['abasore', 'mufite', 'gahunda', 'iyi', 'sure', 'ya', 'danger', 'uyu', 'mwana', 'yavamo', 'umugore', 'mwiza', 'cyane', 'aranaryoshye']",negative
156,"['amamaza', 'ubushomeri', 'ufite', 'bugere', 'kuri', 'bose', 'wipfa', 'wenyin']",negative
157,"['uyu', 'munsi', 'nabeshye', 'landlord', 'ikinyoma', 'gikomeye', 'ariko', 'umenya', 'birankoraho', 'foolsday']",negative
158,"['ntibisanzwe', 'abagabo', 'bafashwe', 'nirari', 'bafatira', 'ku', 'ngufu', 'abagore', 'mu', 'rusengero', 'pasteri', 'areba', 'nawe', 'ushake', 'amafoto']",negative
159,"['ariko', 'uziko', 'hari', 'abantu', 'bakora', 'ubukwebashinga', 'urugo', 'bagamije', 'gusenya', 'nkuyu', 'mugore', 'koko', 'yamukorerwa', 'iki']",negative
160,"['hari', 'umuntu', 'wambwiye', 'ngo', 'aba', 'yumva', 'utubari', 'twafungurwa', 'abantu', 'bakaba', 'bitoza', 'gusinda', 'banubahiriza', 'amabwiriza', 'yo', 'kwirinda', 'covid', 'ubyumvaute']",negative
161,"['subira', 'ig', 'kwa', 'wa', 'kibwa', 'we']",negative
162,"['ariko', 'uri', 'imbua', 'shahu']",negative
163,"['mwiriwe', 'neza', 'mbese', 'kuvugishukuri', 'byagutwariki', 'utagiye', 'kumbuga', 'nkoranya', 'mbaga', 'ngubeshye', 'isi', 'yose']",negative
