tweet,label
user ههههههه هى زواخة وعلاه نعمر بيها راسي متابعينها حتى هم ويكونوا كيفها,negative
user shiya kashe jaki ,negative
 ọjà ò gbà ó ní káràkátà lọjà wà fún igbagboyorubanipaaje ajesaluga yoruba,neutral
aygolia nti li majritish mzyan bash tchdi train,negative
تحية عالية للاتحاد العام الوطني لدكاترة المغرب ,positive
tfoo db hadi hiya tani haja andem 3liha hit khlit beni mellal,negative
wura ice cream shop mese wura,positive
كلنا خائنون,negative
money dey o love think dey now don know say both money and love dey just to dey survive d tin now o,negative
claro que consegue nosso problema é gostar de coisas  ,neutral
rt user aimokan lo n se won awon oyinbo mo n sise ko si nkan ti won fi sori ti awa dudu se iwa aibikita lo n da la,negative
user nna ego di mkpa ,neutral
يرفعون علم الانفصال ويبعدون العام الوطني ومع ذلك يتشدقون بالمظالم والحقوق لا حقوق لمن يرفع علم الانفصال,negative
user allah musu rahma yafe musu kura kuransu yasa aljannace makoma ,positive
otutu oma nwa ada ,positive
user mansuraku ja baban nakun nan ciki faaa,neutral
user user o problema com este novo ao é mesmo os pontapés q dá a etimologia latina ,negative
imagine bab go dey chop yur money still dey stress you on top i go craze oooo,negative
user èmi náà ò ga lára coman carry me too,neutral
rt user èwo nínú aáyán ògbufọ yìí ó báa lọ jù eng he is trying to know too much about the matter aó fẹ láti mọ ọrọ y,neutral
user beautiful queen  of kannywood,positive
እንደ ሀገር ከቀጥልን ወደብ በሚለው ሀሳብ እስማማለሁ ዳሩ የአማራው ህልውና ባልተጠበቀበት ሀገር መሆኑ ነውስለ ኤርትራ ጎዳይ ለራሱ ለህዝቡ መተው ነው እንዳንድ ዲያስፖራ አካባቢ ,neutral
user  indai baki bar barca bah kinyi aure da matsala kuwa,neutral
user user user o pecado levará toda uma geração para o inferno  -_ wordexpoinangola ,negative
dem dey draw us who give dem pencil,negative
rt user user oni jibiti won won lara aisan tnba orilede ja,negative
kwenu wazazi na waleziendapo inatokea tofauti baina yenu kupelekea kujibizana jitahidini msionyeshe hizi tofauti mbele,neutral
user user user user onye akamụ gbakara agbaka dị nuburu ,neutral
nwannem jide nti gimadu adiachu oke hapu nti e  diokpa,negative
ọsọ ndị òwé ndị,neutral
user user edumare a je sese o ire o  àṣẹ o,positive
ìkọkọrẹ an ìjẹbú delicacy can garnished with smoked fish pọǹmọ crayfish meat etc best eaten with cold ẹbà  ìkọkọrẹ oúnjẹ àwọn ìjẹbú wọn lè fi ẹja gbígbẹ edé pọǹmọ ẹran gbe lárugẹ ó dùn jẹ pẹlú ẹbà tútù  ,neutral
user user agam eyere gi akwa ngwa biko nu,neutral
user تبهديلة من بعدها تبهديلة user,negative
nwanne onwe ihi di like that mu nwata di together o justi n o bia late n echi bu olu so naba nego maka olu ,neutral
user zanso naga karawan shi da tsohuwar club din shi united ,neutral
yaan jamaa huyu big thinker maana hakuna hata wimbo wowote hovyo kwenye list nyim,positive
user mafren kpuchie ọnụ,negative
user ado ado soyaya,positive
non non avec le temps on oubli qui a adopté en premier yweeli lwalade dial dar,positive
pikin wey fine like this suppose dey with me,positive
user user user user user user user biko nwoke awka-etiti kedu ife trendilu ubochi birthday nonso biko,positive
user bụbu adịghị mma imitate for anything jare ,negative
user user mgbe i ga anuwa uda,neutral
ndị mogho akọnuche wu length and breadth just negodi ndị ezinụlọ joeapari haba ,negative
aga aracha nke gi oge nadigi ,negative
i sha know that babe and clique get bad omen for that socialiga day why get along i thank god for my life to think that i wanted to offer one a lift in my uber maybe me for dey do thread,negative
ቀላል አስተኝቷል ሰልፉ እስኪደር ጥላው እንደምቴድ ገምቶ እኮ ነው,neutral
àjàó wà lórí àkéte àìsàn nílée rẹ kò sẹni tí yóò ṣe ìtọjúu rẹ alo ajao yoruba,negative
ጺሙ የሚዋጋ እንግዳ እናንተንም ስሟል 2ትላልቅ ሰዎች ሲያገኙን እሰይ አደገች እያሉ የሚተፉብን ነገር 3ከመሸ በኋላ ሰው ቆሞለት ሸኖ ቤት የሄደ 4 ይቺ ሀገር በዚህ የምትቀጥል,neutral
wanne odiro nfe uwa gbasie mbo ike freestyle things user user user user user ,neutral
user ni njye boss ubwo se koko sindi umwana nkabandi iyo poromosiyo ntiyangwa nabi pe,negative
user eji m aka ná ndị a agaghị emebi ịhụnanya anyị nwere nye onwe anyị ka anyị nwekọrịta uto nógbè a site isokorita onwe anyị onye ọbụla neso m aga m ezokwa ọsọ ọsọ,neutral
champ chim dozie gi nwa na ,positive
user وعلاه لابسين قش الشتاء الدنيا سخونة وهوما مشتين على الأقل يعرفو يكدبو,negative
user alhamdulillahi allah kara tsarewa ,positive
ndia nachum nkiti mana omunachim so eeh omunachimu so ginwa kedu onye ginia so everyday onwero nke nasogi ifeniile eneme nwegi mi rap,neutral
rt user user user oorun ti n ile ife ti ojumo ti n mo ile aye,neutral
ይህም አለ ከሰሞኑ በስህተት የተላከላቸው 1 ሚልዮን ብር ለባንኩ ወስደው ያስረከቡት የመቀለ ከተማ ነዋሪው ድርጊት ብዙዎችን አጀብ አሰኝቷል የገንዘቡ ባለቤትም ገንዘቡን ተቀብሏል,positive
user gaa niru nsogbu adighi,positive
user user user awa niyen o eyin naa e igbadun jimo oloyin o se otutu koja afarada,positive
user user okwu dị ná okwu gị a nnam ,neutral
نال الجزاء الذي يستحقه عاقبه برلمان حزبه نيابة عن الشعب وموعده مع الشعب في الانتخابات القادمة,negative
live kijijini azam two washiriki ktk nchi wanaianza safari kuwania tzsh milioni,neutral
mes3 yesu ma wo,positive
user user mai gadon zinare,neutral
ojú-ọjọ mọn kedere ìgbádùn la wà,positive
user onye eno isi a aputa,neutral
user shege dan matsiyaciya allah yafika mugu ,negative
user user nsogbu e nwee problem oooo,negative
جواب كاف وشاف لا يفهمه الا اصحاب الفكر الراقي على سؤال ينم عن الحقد والكراهية فعلا سؤال بليد,negative
rt user user gbogbo la ó rí ra lọdun to n bọ ibeere idahnu yoruba,positive
user user user so isolugo user tubaa ujo umu nwanyi,negative
በሞጣ ጉዳይቀጥታ ስርጭት ደውላችሁ መሳተፍ የምትፈልጉ በዋትስአፕ 27 78 940-6084 ደውሉ,neutral
 ka mburu ihe nchachi anya - ernestejezie wakafinz user softking,neutral
o lbenj l dok likayhsabhom rah hadak howa rai jdid,neutral
ቃላት አጣሁላት ጌታ ሆይ አንተ ጠብቃት,positive
user  oburo so user ma esi akpo mmadu ,neutral
não posso passar a vida a pedir desculpas ih,neutral
user user user user user user user user uko mwayitsinze ntanumwe utabizi se mugabanye umwijuto dore twagarutse kukibuga tubamwaze ndebe abasifuzi etoo bazahera,negative
ọrọ ẹyin ọmọ naijiria yi tiwa sun mi o ,negative
haew god ezigbo nwanyi  ,positive
تقبل الله منهم وجعلها الله في ميزان حسناتهم,positive
ድል ለዲሞክራሲ ,positive
user abu yayi kyau haka ake so zaman lafiya yafi zama sarki,positive
abeg if win wetin go happen make me vex oh,negative
ọ bụ ihe nwute smh ,neutral
لا حول ولا قوة الا بالله اللهم ارحمه واجعل مثواه الجنة,negative
d way i love dis eeh if u dont know what love looks like jst take a look at dis two and ull c it may god bless and keep u both geda kachi abeg show us your open in d next pix weve missed it,positive
በጣም ጠቃሚ ትምህርት,positive
user user user nnaa ehn ike gwuru nwanne,negative
ያንተን መልካም ምኞት ቀቅለህ ብላው ወረኛ ጥንብ ዘረኛ ጥፋ ከዚህ መርዝ,negative
user user nwannem kedu ihe nkea patarakam mara ma m ano katigori,neutral
ɛnnɛ yɛ wukuada nti come buy one and get one for free rush to now,positive
happy birthday onye obodo chukwu okike abiama gozibe gi mpa ,positive
òkè ga jòkè,neutral
user user kai akwai case yau kenan allah kaimu dare lafiya ,positive
rt user user kí pẹtẹlẹ ibeere ile lon jebe nkan wale tabi so o di petele fun apeere- soke isoro di petel,neutral
user mtswww trashhhh yaushe ma iya hausar sosai tunda gashi nan sai aro yaren turawa kana amfani dashi arrogant kawai ,negative
user yaushe zaayi nigeria ,neutral
yún meaning  to go yún  itch scratch ara ń yún mi - my body is itching yún to take-in ṣadé ti yún - ṣadé is pregnant inyoruba,neutral
call me aka nchiputa nkwa 1 mazi okpunna bu enyi 1 ojere jii laa jii 1 nkenke efi nachu igwe ,neutral
user iyo mwiza uba mwiza kbsa,positive
user hahaha banda wanda muka gama lfy kuma ,neutral
ọmọ oodua ọmọ yorùbá níbi kíi bi ó wà má à bọ wá ilé làbọ sinmi oko mexico brazil cuba egypt ethiopia ,positive
netmena tejoun fe istikbal souhila fel matar ellah yejhalik khouyawtougaf m3aga kima mara li fatet w teprogramoulha hafla,positive
rt user user user user user ohun to seni laanu wipe awa funra mo nipa ohun to je,negative
mafe nso paaa,positive
essas emoncionadas apanham aonde essa toda coragem mesmo  ,neutral
user agreed to an extent that sh is old fashioned but there is sh in yorùbá alphabet àṣà wọn kọ tí wọn fi ń lo sh ohun àwọn ọjọgbọn àti olùkọ yorùbá dìde láti ṣe àtúnṣe rẹ wípé ṣ álífábẹẹtì tí ó tọ láti lò,neutral
هضر على راسكماتهضرش باسم الشعبشكون قالك الشعب باغي بنكيران,negative
user matawalle ne yayi winning kofin,neutral
ወኔ ያለው ነው የሌለው,neutral
ዓመታት ድንቅ አገልግሎት ላበረከቱ አርቲስቶች እውቅና ተሰጠ ድምጻዊ መሀሙድ አህመድ ገጣሚ አለምጸሃይ ወዳጆና ሙዚቀኛ ሰላም ስዩም ሰላሚኞ እንኳን ደስ አላችሁ ለአምባሰል,positive
sou odiado por muitos pela sinceridade que tenho ao falar certas coisas mesma proporção tenho amizades verdadeiras por essa razão pra uns é defeito mas pra alguns é qualidade user sabe ,neutral
user user user user user user user user user user user user user user user ezigbote premium aluu ooh ,negative
ኢጅረር ታከለ ኡማ ለተማሪዎች የገና ስጦታ የሚሆን በነፍስ ወከፍ አንድ አንድ ታብሌት ሰጡ ኢትዮጵያ እየበለፀገች ነው ጎበዝ,positive
wogye obi boy ne y3  fear women ampa,negative
a fẹ pupa láwọ ṣá ní gbogbo ọnà láìmọ pé ó ńkó bá ara arabibo bleach omoyoruba yobamoodua,negative
user user user user user user user user user user user user nne biko imagodi esi etu afa iga ejikwa nkea nacha di gi ego ya nwoke a tokwara ato aka gi ,negative
asweh e pain me ehn like the struggle to kiss her sef war had to stand on my toes,negative
user gsky hirar nan tae dadi allah taemaka,positive
ሰላም የለም  በዚህ ዓለም ውስጥ ደስታን ለማግኘት የሚሞክሩት ሥቃዮች ብቻ ናቸው የፈጠሩን እና ተስፋ የቆረጡ አማልክት ሁሉ አሮጌውን ማስወገድ እና ይህን ጥ,negative
user koma waye kunkuru ne yasin ,negative
user wannan gaskiya ne mukam har yau jira muke saki gwaska returns waishin yaushe zai fito ne legend ,neutral
ሺት ነገ ለንደን ዝናባማ ሆኖ ነው ሚውለው,neutral
dey imsu junction dey wait for a new catch few minutes later dey text me say e don fall for him girlfriend of yrs n wan dey serious with am lmafoooooooooooooooooooooo owerri boys ,negative
ugasanga umuntu afite ibibazo isi yamureye yarangiza ntiyibabarire akiyongereraho ibindi ,negative
እኔ ያን ሁሌም መክፈት አልቻልኩም ያ ያ የሹል ቁራጭ ብቻ ነው ,neutral
abum nwa afo igbo ,positive
user sarki wallahi ganinake man film yamaka tsufa yanzuinnaga kanarawa a cikin film wallahi harkunya nakeji ,neutral
udo diri unu mgbe nile,positive
user wai garin dadi nesa agwagwa ta leka masai ,neutral
user toh babban magana,neutral
user allah kara musu fasaha da ingantaccen ilmi domin cigaba da isar da kyawawan sakuna ga alumma,positive
antony general gbogbo ọṣun ń kí yín o wọn ò ṣe kúkú wá kọ yorùbá gan ,positive
user user allah y kara maka basira aminu saira,positive
user wow liverpool kasuwa ,neutral
user user user user user egbe belu ugo belu nke si ibe e na nku ya m’obu nke sị ibe e na gosị ebe o ga ebedo hooha,neutral
owww antiwaa me ooooo,neutral
mo fẹ àwọn àwòrán tó wuyì dáadáa fún gbígbékọ sára ògiri inú ilé mi bóyá tí ng bá lè yà wọn láti orí òkè kan ní ìlú ìbàdànabẹòkúta,neutral
momkin ntleb mnk tliba 3afak,neutral
seeking the messiah_ እነሆም በኢየሩሳሌም ስምዖን የሚባል ሰው ነበር  ይህም ሰው የእስራኤልን መጽናናት የሚጠባበቅ ጻድቅና ትጒሕም ነበር መንፈስ ቅዱስም በእርሱ ላ,positive
hoje vou meter uma zola porque estou com frio e não quero sofrer,neutral
fine girl if you wan get bike dey comot from house around or am i did not subscribe for this stress abeg,negative
user às responsabilidades mudam agora agora mano,neutral
let your hero wamukobwa nateretaga mubwirako tuzakora marriage nsoje kwiga yakwigira ahandi ndabona ntazasoza,negative
ብጄ አሳምነው ጽጌ ከምክትል ጠሚ ደመቀ ጋር በሱዳን ጉብኝት አልበሽር ያሉትን ለተመስገን እንደነገረው ኢትዮጵያ ለእኛ ጥሩ ጎረቤታችን ናት ከህወሓት ጋር ግን ቤተሰብ ነን,neutral
user saidai rahama taji kunya kuma tasabajin kunya dama,negative
nyansa doduor yɛ gyimie ,negative
sempre fui criativo desde puto inventava coisas mexia isso desmontava aquilo mas parei por causa do preconceito queria parecer uma pessoa normal como as pessoas que não tem ideias nem visão nenhuma hoje estou esse gajo o talento ainda existe porém o feeling já era,negative
sunriseservice ibu chukwu onye dimma ibu chukwu onye dike ibu alpha omega onye mbu nonye ikpeazu mmalite nogwugwu user,positive
user ameeeeen  my director user,positive
user mutanan nigeria  suna allah wadai da tafiyar kasar waje kamata katsaya asibitin gida adubaka indai kai mai-kishin chigaban kasane,negative
month never reach half i don already make one mistake who send me make i wash my son bombom after he shit finish laidis tori olorun my hand just dey smell like dump site since morning,negative
user me qarya wuta balbal,negative
ògúnǹdé ní yorùbá sọ ara wọn di bọọlù fáráyé gbá tó bá gbá wọn sókè wọn á tún gbá wọn sísàlẹ ijoole,negative
i will marry you i will marry you ana ara gi every weekend ranye gi nzuzu aru aga arakwa gi ozo this weekend  ewu endpolicebrutalitynow lagosprotests mrmacaroni endsars,negative
tarurakilombero ni kweli daraja la mto mngeta limetumia tsh milioni 31 meneja tarura mhandisi robert magogo amesem,neutral
user kada dai kabari tama kiss ,neutral
user oge eruola mgbe onye na ado ochi na ala imo ga ezi anyi ihe bu aga oru ya,neutral
user ninzu yibitabo nkatwe urubyiruko  imana imuhe kuramba arambana adufitiye ,positive
user ina ganin bai dace bbc buga wannan labarin a haka ba don wannan taba darajar shugaban kasa ,negative
user hhhhh gsky neh kasani koh idan kawai kayi shaawar zuwa sama sai ganka kana yawo a sama,neutral
user butera knowless kumuvuga nabi waza tugafata terrain tugaterana amangumi,negative
user o que ta a acontecer,neutral
user ọ dịkwa egwu dị anyị,negative
hhhhhhh 3lina o3lik hadi chno ntssahro biha,neutral
user user user user user jamaa hajiya taxo  ,neutral
user kedco ma gansu da generator suna kunnawa ,neutral
meu medo é de ela pegar o meu mobile e pensar que sou obcecado poe ela de tantos screenshots que tenho das fotos dela,negative
user allah kare kano da musulmi baki daya allah mun tuba allah yafe mana saboda annabi saw ,positive
sawa kwa kuwa ulisha jisajili utahitajika kutengeneza neno la siripassword ili uweze kuingia apptovuti kucheza au kuangalia matokeo neno la siri lafaa kuwa herufi kubwa ndogo pamoja namba muunganiko huo usipungue 8 pa,positive
onye ije ofu go pack oh na the koko that ,neutral
አደጋን ለመከላከል አዲስ እይታና አቀራረብ ያስፈልገናል የመኪና አደጋ ዜጎቻችንን እየበላ ነው ዛሬ በደህና ከቤታችን ወጠን በጤና ስለመመለሳችን አብዝተን የምንጨነቅበት ወቅት,neutral
ìbọn tó wọ ìlú ẹbá ọdán ò ṣẹhìn obìnrin alágídí yìí ní 1872 iyalodeibadan yá ọmọ ogun ìbàdàn ní ìhámọra ogun,negative
user mmiri ukwa ,neutral
good shape good shape belle don dey come out,negative
3 ìjọba àpapọ user user yóò parí òpópónà gbongan - iwo tó dín díè bilionu méje náírà àti afárá ojutu ẹlẹdẹẹgbeta lè mejidinlogoji mílíọnù náírà ilobu nipinle ọsun,neutral
wen dem put moth for watin nor concearn dem u tell dem all dis one,negative
user kaji dan rainin wayo lokacin da kaci kudin yan fansho waya sani,negative
òlè ò ráyé wá o ọmọlọmọ alápámáṣiṣẹ já gbà,negative
breaking news nuno espirito santo yamaze kwirukanwa tottenham hotspurs nyuma gutsindwa man u  ,neutral
 praise eze ndi eze idi egwu o onye nabia ozor idi egwu thelovechannelsng sundaysuser gratefulness,positive
user user user this is twitterkomai da ruwan ka ,neutral
mma ji gi tie play chaiiiiiii nwa i maramma nae se okwu,positive
user amen  ngwa ka’m hapu okwu,neutral
glo give una chance to dey gimme got spoilers like this,negative
conflito ucrânia poderá agravar custo de vida de angola e moçambique ,negative
d work wey dem dey do,positive
user user kunyi latti saidai abaku labari,neutral
انا بعدا غنصوت علا بنكيران لانو كلشي هوا علا حق,positive
user kutt babbar magana dan sanda yaga gawar soja,negative
user kuma kuna sahur kenan,neutral
user allah yaƙara ɗaukaka masuson bin dokokn addinin muslunci shikuma wannan mutumin allah yasa hukuncin daakayimasa yazama rahama agareshi a gobe ƙiyama,positive
wazee wengi kwenye cso week wamechanja kuna uhusiano kati elimu utayari kuchanja uviko 19,neutral
user muna rukon allah ya zaba muna shugaba nagari kasata janhuriyar niger ,positive
yakubu s3 preko y3 haram nanso ɔdi trumu eiii,negative
user hahahahahahaha maka m anaghị eyi ese foto emeaniro m anaghị eyi oo,neutral
sika oo sika abrokyire sika ,positive
user nonso believe dem o ndi a wu ndi arura ala no video to buttress it,negative
user user user hakkan yayi dai dai congratulations our next president 2023,positive
me i cant wait to leave dis sch passport dis abi warris dis one again nsuk wil not kill person haba,negative
não é et este aqui ,neutral
 አቤል ብርሀኑ የወይኗ ልጅ ዛሬ አስቸኳይ ማስጠንቀቂያ ተሰጠኝ - የባህርዳሩ አስገራሚ ታማኝ,negative
mo fẹ káyín wọlé kí n sọmíìtì ètè,negative
dey there dey form senior man when the love of your life dey ig dey write hookup only,negative
rt user méjìdínlógún àpapọ ẹyọ ilà tó wà lójú ẹni tó bá ṣá kẹkẹ mélòó àpapọ ẹyọ ilà alábàjà a ọgbọn b ogójì d à,neutral
karongi ibibazo birimo ibikorwaremezo inyubako zishaje umwanda byugarije abakorera gakiriro  user user user user,neutral
user kai allah kyauta dan siyasa nawa ke sayen gidaje a kasarnan bawanda zaice kala sai malam don sayi gida sai abu yako allah,positive
user user user user user aqui não sabemos que termo usar pq existe mta ignorancia nesse assunto e é visive pelo teu comentario  mulato então como queres ou vais lhe chamar de caneco god knows what that even meankkk,neutral
user anyị anaghị ajụ gị ị nwere ara ọbụ i nweghị ihe anyị chọrọ bụ nobraday,neutral
tks pelo dia anny ela amou o jantar ,positive
its a spotlight and im walkingworking on my own tryna dodge all these paparazzi distractions and theres one to laugh it all out with and ease this life up i know im introverted but this wan fit make man craze,neutral
user user mtsw u r totally insane  ,negative
user broke bitch tufiakwa gi,negative
o nwero onye ma isi bu eze,neutral
user su da chi da wanke hanu,negative
rt user happy 6th birthday in advance to the original son of the land  2903 ọmọ ògún ò rọkin àgbẹdẹ òrọ bàbà ọmọ kúlódò,positive
bọtà butter kì í ṣe oúnjẹ ọbọ ta ló kọkọ pòwe ìgbàlódée nì gan-an mo mọ ọn ń rò kílonítọhún rí tí ó fi pa á owe yoruba,negative
user idan har akwai sakaci a tare dashi allah kayi masa uquba daidai da abinda yayiwa alumar arewa,negative
menhia nanso nyansa wɔ akyerɛ,negative
user user ndi iberibe people,negative
parody hilo linaupiga mwingi,neutral
user  ibu agu nwanyi nw ego gi bu oshimiri ata ata,positive
user gaskia duk wanda ke monitoring din handle dinnan bbc karamin mashayi bane billion dollar pa nigeria ma ina taga wadannan kudin ,negative
aji l8na ngolik wahd lhaja f do9mek,neutral
user soja dan taaddan gwamnati ,negative
user user user user user user user mechipu gi onu biko akwuna markis charlton ,negative
rt user user user user user user user lóòótọ iṣẹ ti ṣe nípa tweetyoruba bóyá ká dojú ìjà ,negative
user tab to allah kara tsare muabin harda aladutirkashi,positive
live 953fm youtube galatasaray x barcelona ninde wigiza nkana tuganire   user amp user ,neutral
ur mama never chop but you dey pop champagne you wise kindly retweet and add yours to it,negative
e like say our daddy don dey ment his handle is down down,negative
user user gaskiya kin daura karen ki a rana wlhy ,negative
ربنا يوفقيك ومن نجاح لنجاح ,positive
እንዳንተ አይነት የተስፋፊነት አቀንቃኝ ከኢዜማ ጋር መሳፈጥ ምን ይጠቅምሃል ከብሄረተኞችም ተጣልተህ ከኢዜማም ተጣልተህ take a chill pill bru ,negative
ṣé user fulani fulani user ju ti buhari lọ buhari ó lè sọ èdè fulfude atiku gan-an ojúlówó fulani - segun showumi atiku agbenuso fún ìpolongo ,neutral
since pm this man don dey kitchen on top chips and egg the hunger self don run,negative
user user user user nuko fact bro,neutral
user ase mhn wanguriye nange,neutral
mambo kumaliza kesi ukatili kifamilia zinakwamisha nyuma jitihada kupinga vitendo vya ukatili dhidi wanawake wat,negative
user ranar talabijin ranar shirye-shiryen da akeyi a digajen talabijin,neutral
nasikiliza hii ngoma nikusaidiaje ft ferooz,positive
u dont expect my ceec to drink dat kind baby food see wat she is bragging for naija nestle dat is so cheap wonder u guys cant vote to save her live even nestle will so ashamed to see person like ales dat feed with their food misbehaving,negative
user katsina funtua lg har kyauta ake bayarwa,positive
ẹní irọ o ó da ẹ ẹ jẹ á tẹpá mọṣẹ àgbẹ nísìyín torí àwọn mọlà ti mú sáà nínú iṣẹ ọgbìn ise agbe yoruba nigeria,positive
user user user user user user user user user user user udo dịrị gi,positive
ehotago ụtụtụ ọma eze egwuregwu na-ekele gị ,positive
user my brother somebody ji mbo otu onwa eme nye anyi tata nri nke ubochi anyi ,neutral
user user gaskiya maganan shgb daidai ne basaw sun muslinci wamakaru wamakarallah wallahu kairun makrin,positive
user fatan alkhairi ga dukkan matasan duniya allah y kawo muna aikin yi me inganchi,positive
ariwo níhìn-ín lọhùn-ún,negative
really በጣም ያሳዝናል እየዘቀጡ ካሉ አገልግሎት መስጫ ቦታዎች በፅዳት ያልተያዘ ቤት ደግሞ ብዙ ከስተመር አላቸው እኮ ሲያናድዱ የምር ክክክክክ,neutral
user amma gaya maku akayi koh ,neutral
what is these peoples problem sef now now dey don form swat but our demand was taking a process shey are a joke to them in short ehn  did say want change of name ,negative
የእስክንድር ዓላማ ሐሰተኛ ዲሞክራሲ መሆኑን የሚያምን ሰው በዝቶባቸው ነው መሰል ፓርቲያቸውን ባልደራስ ለእውነተኛ ዴሞክራሲ አሉት ነይ አልበላሽም ላላት አንበሳ አልበላሽም,negative
communionservice onye dike ike nne agama turu gimma mma,positive
rt user new post bi ọdẹ bá ro ìṣẹ ro ìyà inú igbó ti ó bá pa ẹran kòní fẹnì kan jẹ  if the hunter thinks of ,neutral
chidiebere kenechukwu ndi oru ugbo ,neutral
user user nwanyi oma dalu chukwu gozie gi,positive
àmọ kí ó tó di sáà lugard ní 1825 olúwa chalmer pa á láṣẹ ó sì sọ ọ dòfin fún àwọn ilẹ abẹ ìṣàkóso britain láti máa ná shilling 1902 owó pọún pounds tó jẹ níná nílẹ yìí owo,neutral
ዛሬ ባጋጣሚ ltv ማየት ማስታወቂያ ላይ ቤቲ በጣም ብዙ አስቂኝ ፎቶዎች እኔ ላይ ይሰራሉ እኔ ደሞ በጣም ቆንጆ ልጅ እንደሆንኩ አምኜ ስለተቀበልኩ ምንም አይመስለኝም ጎበዝ ልጅ ,positive
nwoke oma ije ogalanya ,positive
la khosasan ha lahja li bighani biha muslim ba3ida,neutral
has anyone gone to a store to buy perfumecologne bleu chanel is now k amourage k creed k to continue with axe gang o cos im never buying those cheap ass ones they smell like crap even if oud sef mba,neutral
user idan yanzu bakuyi zakuyi nan gaba ,neutral
