ID	tweet	label
or_test_00035	Sabni keenya akkuma tokkummaan kaee safaricom jilbiifachiise tokkummaan WBO cinaa dhaabbatee bilisummaa isaa mirkaneeffachuudhaan badii irraa ofoolchuu qaba Sooreyyii alagaa kan diina Oromoo taan hunda akkuma safaricom jilbiifachiisuu qaba OromoVoice AidForOromia	negative
or_test_00036	Warri dur duriis harras boris Oromiyaan biyya waan jettaniif lafeen keessan cabee dhigni keessanis dhangalae Diddani diduu nu barsiiftan Yeroon kan bareessulle wareegama kan jirtan ilmaan Oromoo qaqqalii Bilisa nu baasuf jecha kan nurraa taatan aarsa  GALATOOMAA URL	positive
or_test_00037	Kan nagaa barbaadu humna horata Oromoonis nageenya yoo barbaadde WBO jabeessi Kutaa hundatti ganda hundatti miliyoonaan ijaari Saba hangafa gaanfa Afrika taee bicuu fi yartuun bitamuu hin qabu Oromoo kai WBO faana qabsaawi IUOF OromoVoice OromoIsStarving	neutral
or_test_00038	Ergamtuu Sirna nafxanyaaf teessoo tiksuuf jette joortuu fi ergamtuun saba Oromoo keessatti dhalatte akka baala arbuutti aarcaaa jirti Yaa ilma OromooQarshii 1200 1700 jette maaliif dua seenaan sin beekne duuta Eenyuuf jette dhumta eega Muu	negative
or_test_00039	Watch Caffee Rammiis Dr hangaasa Ahmed Ibraahim siidaa  nan dhaba jedhe Dhageefadha on YouTube URL	positive
or_test_00040	Mana taaanii dua eeggachuun hafeera ati inni mana teessee Guyyaa Duaa kee eeggattu maal abdattee Akka teessu naaf hin galu otuu falmatanii bilisoomuun jiruu mana taaanii duuun fafa URL	positive
or_test_00041	Yaa Oromoo WBOn ilmaan kee kan mirga keetiif jecha lubbuu qaalii siif kenne dha Ijoollee garaa duwwaa siif joortu dha Gootota dhagaa boraafatee siif qabsaawudha WBO kee cinaa dhaabbadhu Maqaa Shanee jedhuun kan nama fixu mootummaa Abiy dha OromoVoice InvestigateAbiy	neutral
or_test_00042	Sabni gabrummaa jala jiru beelaa fi lolaaf saaxilamuun isaa waanuma hin oolle Beelaa fi lola Oromoo irratti adeemaa jiru xumura ittigodhuu kan dandaamu Oromiyaa walaboomsuu fi bilisummaa saba Oromoo mirkaneessuu qofaani WBO cinaa dhaabbadhaa OromoVoice AidForOromi	positive
or_test_00043	Osso beeknu huubaa waliin nyaane jette sareen jedha Oromoon Osso beeknu diina hayyoota fi gootota keenyaa fixee waliin deema jirra dhaloota seena jala hin baane taane         URL	positive
or_test_00044	Dhimma Biyyaa Taaanii Daawwachuu fi Harka Dhahuun Hin BarbaachissuDhimma Biyyaa Hunduu Bakka Ofii Jiruu Dirqama Lammummaa Gahee ofii Bahachuu Qaba	neutral
or_test_00045	Gurbaa dimaa jaallatamaQalluu namaa kabajamaaLeellisaa sabbonummaaFakkeenya gootummaaAbokadoo oromummaa Bullo itichchaa tokummaaFarra hattumma fi gantummaaHin qabdu hinaffa fi gandummaaRabbiitu siif kene muudamaHorii buli QALII namaaOromoVoice Oromo ABO WBO OLA URL	positive
or_test_00046	Abban Koo Narra fagatuus naan gadda Art haacaaluu hundessaa boonsaa dhabuu Kootif  Abdi booruu dhaaloota qubee senaa LaMMI oromoo URL	negative
or_test_00047	Sabni humna ittisaa hin qabne weerara diinaa ofirraa qolachuu hin dandau Weeraraa fi waraanaa diinaa Oromoo irraa qolachuuf WBO jabeessuun dirqama Beekkomsa maallaqaa fi dandeettii keessan hundaan WBO bira dhaabbadhaa WBO jabeessaa OromoVoice StopOromoGenocide	negative
or_test_00048	Fira qabsoo fi farra qabsoo Oromoo akkasumas amaloota of fakkeessitoota beekun qaama furmata qabsoo Oromoodha	negative
or_test_00049	Abba Malkaa  Isin hin irraanfannu Isin ofii bobaatanii  Facebook URL	positive
or_test_00050	Maaltu akka jirru beektani abiyi fi jawar lama faa garee isaani kanarraati gareen woyii qumara siyaasa taphatani jirru amma kan jirru wonti hedduu bade jirra sirridha kottaa ararama jennani isin maal jettu	neutral
or_test_00051	Amaara ajjeesuu fi Oromiyaa keessaa hariachuun Oromiyaa waan bilisoomsu kan itti fakkaatu sirna nafxanyaas waan hundeen buqqisu kan itti fakkaatu waliin mataan nu dhukkubeSirni nafxanyaa mindset dha	negative
or_test_00052	WBOn tarkaanfii LMKII irratti fudhatu ittifufuu  Dararaa fi saamichi  URL via	negative
or_test_00053	Ethiopia sirna Minilik narratti deebisuuf deemtuu xumuramu qabdi Is it in the prosperitypp regime oris it in the Minilik regimeEthiopia should be destroyed by the former cannibal regime that advocates against mebaduu badii malee saree ijaa dhiqanii Itoophiyaan Abiyi tana URL	negative
or_test_00054	Dhugaan haa dubbatuGaraachi dharri gubeBulee kaee si gubaDharri soba dhaltiDhugaa lafa gootaniiMaaf dhara gabbartuuTufaa Dhugaatu GingilchaURL	positive
or_test_00055	Oromoo WBOn ilmaan keeti WBOn kan daggalu jiru horiif ykn qanaaniif miti Bilisummaa saba Oromoof jedheetu Tokkummaan WBO jabeessi WBO ciinaa dhaabbadhuutii sirna gabrummaa ofirraa gati Ni dandeessa OromoVoice AidForOromia	positive
or_test_00056	Tokkummaa tokkummaa yaa ilmaan Oromoo tokkummaa jedhe Nuho Gobana Yaa Oromoo ammas tokkummaa kee akka sibiila cimisi Kan sibiilaan si cabsuu barbaadus sibiilaan ofirraa cabsi WBO jabeessi Yoo WBO jabeessuu dhiiste badii caalutti sitti dhufa OromoVoice StopOromoGenocide	neutral
or_test_00057	Gujii shira xaxameen ummata nagayaa gabayaa irraa jiran fixaannami ajjeese ummaata kibbaa burjjiin yootau  nami due 15 kanii madaan hospital seenani nama16 ummaataa nagaa bitaa fi gurgurtaa garaa magaala soyamaa  jedhaamuuti     URL	neutral
or_test_00058	JM Hayyuun OROMOO RABBIIF SABA ISAA ABDATEE BIYYATTI GALE RABBI UMRII ISAA HANGA KANA EEGEE JIRA SABNI INNI ABDATEE BIYYATTI GALE EESSAA Hanga yoomiitti taee ilaalaa	positive
or_test_00059	Ittimuddi leenca Barri yakkamtoota Maafiyaa hin xumurama Maqaa Itoophiyaa jedhuun ilmaan Oromoo duguuggaa sanyiitiin fixuun hin dhaabbata Ergamtoonni Oromoodha ofiin jedhanii muldhata Goobana Daacee haguuggatanii dachee Tuulamaa diina dhaalchisan bakka seenaan hin laalla	negative
or_test_00060	Dua hin badiina Seenaas hin balleessina Dafaa gara W2O tti makamaa URL	negative
or_test_00061	Sabni humna ittisaa hin qabne biyya hin qabaatu Alagaan bitama Gaddaa fi gadadoon dararama Eenyummaan isaa lafarraa haqama Seenaan isaas ni bada Seenaa Finfinnee irraa barachuu qabna Oromiyaa fi Oromoo dandamachiisuuf WBO jabeessuun dirqama OromoVoice StopOromoGenocide	negative
or_test_00062	Oromoo dua manatti dhufte maal goonaaMaaltu nu have kana boodastand with WBOOLA URL	negative
or_test_00063	Sabni keenya akkuma tokkummaan kaee safaricom jilbiifachiise tokkummaan WBO cinaa dhaabbatee bilisummaa isaa mirkaneeffachuudhaan badii irraa ofoolchuu qaba Sooreyyii alagaa kan diina Oromoo taan hunda akkuma safaricom jilbiifachiisuu qaba OromoVoice AidForOromia	neutral
or_test_00064	PrimeLogueMalaammaltummaa Ittisuun Dhiibbaa Alaas Ni FashaleessaPrime  URL via	positive
or_test_00065	Oromuman Midhagumaa Walloo koo ija diina irra hafi URL	positive
or_test_00066	Gubataa Marqaa Hubatatuu Arga akkuma jedhan Faallaa isaa ammoo Bareedinna Gurraachaas Isa beekutu beeka URL	positive
or_test_00067	Oromoo akka bineensaatti ajjeesaa biyyaa ariyaa hiraarsaa mootummaa keeti jedhanii gowwoomsuun hin hojjatu Oromoo dammaqi Ilmaan kee garaashii hidhattee dhagaa boraafattee siif duutu WBO faana dhaabbadhu Hidhadhuu biyya abbaa keetii bilisoomsi OromoVoice OromoIsStarving	negative
or_test_00068	tokko hin duaa tokko hin ajjeesisadhufaa darbaa nuyi numaan cabsakeenya ammallee sanuma saneen isaa maal mallisaa keenya maal mallisaa URL	negative
or_test_00069	Yaadadhaa qabxiilee kana Ilaalcha keessa galchuun Dirqama Link Kana tuqiRead URL	neutral
or_test_00070	Kaayyoon keenya mirga saba Oromoo osoo hin sharafin saba bilisa Oromiyaa walaba mootummaa birmaduu ijaarrachuu dha WBO jabeessinu malee mirgi keenya kun hin kabajamu WBO jabeessaa Dantaa alagaa guutuuf jecha mirga Oromoo hin sharafnu OromoVoice InvestigateAbiy	negative
or_test_00071	Tarsimoo Tapha Siyaasa Beekun DirqamaJedhan Aadde Fariyaa Aliyyii URL	neutral
or_test_00072	Seena saboota mohate bilisa bahe hunda ilali Oromo Kanbilisa bahan tokummaan kutannon diina sani dura eja dhabbatanif Oromion bara 150 wanti keessa darbe rakkoo akka itit fidu nibeekkama Kana irra darbe tokummaasa cimse mohee bilisa bahu dandahu qaba aka saba guddatti	neutral
or_test_00073	Dhumaatin Wallagaa Walloo Gujii Boranaa gidugaleesaa dhumaati Oromo hundati Oromoo ammaa yo walirati dhiste dutiifi hiraarsi kun mana manaketi dhufa Gidiraa adema jiru kana dhaabuf tokummaan kaun dirqama lamuummaafi ilmo namummaati StopWolloMassacre	positive
or_test_00074	Minilik Oromiyaa gara Xoopiyaatti erga jijjiiree Oromoon dhiigaa fannifamaa qalamaa hidhamaa ariatamaa salpachaa fi beelaaa jira Oromiyaa diina harkaa baafnu malee rakkoon Oromoo ittuma fufa Kanaaf WBO jabeessuun dirqama URL OromoIsStarving	negative
or_test_00075	Itti gafatammumma biyya bahu fi naga biyya eegsisun dirqama motummatiKan seeraa hin kabajne fi Qabeenyaa uummata saamuu fi rakkoo uummata tahun sirri mitiDirqama biyya Tokkummaan mirga saba eeguun seera Wali kabajun wayya URL	neutral
or_test_00076	Inni biraa mana masanutin dogongori kanaan dura tae jira garu kanan booda tau garee sanii woliin tanan waan isin eegatu beekaa kana hundarraa dhugaa jirtu lafa kaa nagaan jirachuu yoo fettan maatiti hima wonti beektan waan jiruuf	neutral
or_test_00077	Oromoo sabni humna hin qabne biyya hin qabaatu Yoo biyya qabaates kan humna qabutu irraa saama Saba taee kan biyya hin qabne ni bada Sabni Oromoo badii irraa dandamachuuf biyya isaa dhuunfachuu fi tikachuu qaba OromoVoice StopOromoGenocide	neutral
or_test_00078	Sabni toko malummaan isa yoo bade nibada Finfiinneen fakenya gaari nuf taati Oromoo bilisummaa yo goonfachu baate Finfiinneenumti siliqiimsite sihabashoomisiti Ammas wanti adema jiru kanuma Hamma yomiiti Oromon biyya abbaasarrati alaga kan tau StopHRAbusesAgainstOromo	negative
or_test_00079	Godinna Borana yeroo bulchaan haromsamuu  dhufuu dirqama ummata nagaya tikfaatee bobbafatuu  ajjeesuu aadaa godhatuu kun maalii ajjeessa oromoo gabra kun dedeebiee dhufeera qamnni dhimmii ilaaltuu hundaaf	negative
or_test_00080	Obboleewwan keenya mana hidhaa Saudi  keessati dararamaa jiran akka nuuf hiikamaniif sagalee tahuun dirqama Qaamni nudhagau jiraatu baatus URL	negative
or_test_00081	Minilik Oromiyaa gara Xoopiyaatti erga jijjiiree Oromoon dhiigaa fannifamaa qalamaa hidhamaa ariatamaa salpachaa fi beelaaa jira Oromiyaa diina harkaa baafnu malee rakkoon Oromoo ittuma fufa Kanaaf WBO jabeessuun dirqama URL OromoIsStarving	negative
or_test_00082	Oromoon hund yoo dandeessan WalloottiWalguuraa diina Oromoo achityi maandheeffatee lagachiisee daguuggaa gaggeessaa jiru yeroodhumaaf barbadeessaa Diina faana walcina dhaabbachaas jiraachuun hafuu qaba URL	positive
or_test_00083	Minilik Oromiyaa gara Xoopiyaatti erga jijjiiree Oromoon dhiigaa fannifamaa qalamaa hidhamaa ariatamaa salpachaa fi beelaaa jira Oromiyaa diina harkaa baafnu malee rakkoon Oromoo ittuma fufa Kanaaf WBO jabeessuun dirqama URL OromoIsStarving	negative
or_test_00084	Dhiheenya kana Mootummaan Manguddoota Dhadhaabbata malee deemuu hin dandeenye Farra Riphee lolaa Jechuun Hojii Qonnaa Dhorkuun Uffata Gabaarra Naannoftu ergi itti uffisee booda Gara WBOti Bobbaase ammas Dhumaa Fi Harkaan Qabaa jirtiWBOn Hojiitti jira Ati olola Oofi URL	negative
or_test_00085	Konkolaata kanneen keessaa waraana weerartutu adabame Yaaddoo taane yaaddeessuun gaafa akkas dachee keenyarra diina baarudan macheessine qofa kabajamnaTarkaanfiin WBO Zoonii giddu galaa kan Lixa Shaggar kana fakkata  URL	negative
or_test_00086	Leencichi kun ammaan dura akkas jedhee ture Nuti ammaa booda ajandaa namaa hin fudhannu Ajandaa tolchineetu kenninaaf malee Ammas akkuma jedhetti diina keessoo fi alaaf ajandaa tolchee kennuutti jiraWalabuu Jiloo URL	positive
or_test_00087	Maloo yaa umataa oromoo kayyooJaladhaa malee nama hin jalatinaNamnii nii ganaa nii duaa yomiyyuuKayyottii amanii malee namattii hin amanin URL	negative
or_test_00088	Qawwuma Caccabaan  Diina lafatti naqeNeetWoorkii uggurraan Diroonii kalaqeDhaloonni kun Dirooniin tumamaa Diroonii kalaqa URL	positive
or_test_00089	Woraan Itiyoophiyaa WBOfi TDFni lolu dhiisi ofiifu beelaan dhumaa jira InjSaamuelOMNImala gara Finfinnee fi Bilxiginnaa Inspector Samuel Ermiyaas Waliin URL via	negative
or_test_00090	Seenaa keessatti Oromoo gootuummaan kan mohe hinjiru Diinonni keenya kana waan beekaniif Oromoon Oromoo cabsuuf hedduu tattaafatu Oromoonni waraana Itoophiyaa keessa jirtan shira diinaa kana hubadhaa Saba keessan ajjeesuu dhiisaa WBO gargaaraaOromoVoice StopOromoGenocide	neutral
or_test_00091	WBO zooniin kibbaa diina irraa dhukkee kaasaa jira URL	negative
or_test_00092	Koloneel Gammachuu Ayyaanaa hidhaa yeroo dheeraa booda hiikaman URL	negative
or_test_00093	Waraanni TDF marsaa kanatti bojiamaa ofitti fudhachuu waan barbaadu hin fakkaatu Waraanni Baxaaxinaa duguugamee lakkofsaan himuun nama rakkisa Abiyyi Haala Sukanneessaa taeen maammuloota itti naqee duguugsise	negative
or_test_00094	Ani Marroon waan godhu beekaAti Qeerroon waan gootu beeki Jedhe Jaal Marroon Kan jechuun maal jechuudha Qabsoo Oromoon gama kamiinuu gaggeessu waliif fala malee faallaa mitiidha Qabsoo hidhannoo amma cimee gaggeeffamaa jiru kana Qeerroon ykn Warraaqsi ummataa kan URL	neutral
or_test_00095	Oromoo dhumati Walloorati gageefamu yoo dagaate fiixa eebooke karaa kaabatu dooma akasumaati Oromuummaanis badaa adeemti Goota Oromo Walloo bara 500 ool kophaasa Oromuummaaf dua bahe hindagatin ciina dhabbadhu StopWolloMassacre	neutral
or_test_00096	Yaa Oromoo WBOn ilmaan kee kan mirga keetiif jecha lubbuu qaalii siif kenne dha Ijoollee garaa duwwaa siif joortu dha Gootota dhagaa boraafatee siif qabsaawudha WBO kee cinaa dhaabbadhu Maqaa Shanee jedhuun kan nama fixu mootummaa Ab OromoVoice InvestigateAbiy	negative
or_test_00097	Abbaan  dhuguma Dandaaadha kan nama akka Taayyre kana guddise Dhukkuba Oromootti guddisuu isaaf garuu	negative
or_test_00098	Abiy fi Fiinxaaleyyiin Amaaraa WBO balleessina jechuudhaan saba Oromoo balleessaa jiru Oromoo gubaa jiru Qabeenya isaa saamaa jiru Ilmaan isaa ajjeesaa jiruxzdBadii kana ofirraa dhaabuuf WBO gargaaruu malee falli biraa hin jiru WBO jabeessaa OromoVoice StopOromoGenocide	negative
or_test_00099	MCBNO 5 Biyya olaantummaa heeraafi seeraan bultu uummatni mootummaa isaaf tahu dhiibbaa malee nagaafi bilisaan filatee ittiin buluuf karaa banudha6 Mootummaa uummataa Oromiyaa keessa jiraataniifi naannolee Oromiyaa jiran wajjiin nagaafi jaalalaan waliin akka jiraataniif	neutral
or_test_00100	Waaqni ifaafi jaalala namummaaf qabuu mara siif kennee ati garuu dukkana enyumaa kessa dhokachuu filatte	negative
or_test_00101	Kana arguu caala maaltu diina guba oromoo ammoo gamachiisa URL	positive
or_test_00102	FINCAAA FI GIBEEN SUMAKEESSAA JIRUU DUKKANA BIYYARA IFATTI JIJJIIRUU                      50 ama nii gutamaaf	positive
or_test_00103	Ibidda itti goollee Golee Oromiyaa mara keessaa Diina baafnaJedha WBOn WBOn Haa Waaru URL	negative
or_test_00104	Baankiin Hojii Gamtaa Oromiyaa dogoggora raawwate amanee ummata Oromoo dhiifama gaafachuun walii galticha haquu caalaa ummata mil 60 sobuun ummata dallansiisee jira  Ibsa isaanii marsaa 3ffaatiin maal jedhu laata Eegaa jirra URL	neutral
or_test_00105	Itoophiyaan aarsaa goototni ijoollee ishee baasanii diina keessaaf alaan wal ijaaree ishee weeraruuf dhufe lafee fi dhiiga isaaniin birmadummaa ishee kabachiisanii kabaja gonfachiisan yoommile hin dagattuEthiopiaPrevails NoMore URL	positive
or_test_00106	Rakkoo beela biyyittii oromiyaailaalchisee Umaannii keenyaa ummaannii Oromoo beelaa hammanaa jedhamneen Saxilama jiraGaruu yeroo kanattii waee  magariisaaDubbachuu maalii Xiqqaa guddaan dhiiraafi dubaran ummaata keenyaa haa bararruu	positive
or_test_00107	Yaanuyiijedhee Haceen Yaa Walirratti duuluu keenyaa UggumSafuuAjaaiib	positive
or_test_00108	Sirni nafxanyaa Oromummaa baleessee biyya abbaa keenya dhuunfachuuf afaan Oromoo aadaa fi seenaa Oromoo balleessuudhaani Sirni kun waggoota arfan dabran Abiyin hoogganamee badii guddaa Oromoorra geesseera Safaricom kanuma hojirra oolchaa jira Dinne OromoVoice AidForOromia	negative
or_test_00109	Kottu naaf rarraasi Ayyuu Simalee jedhee dide	neutral
or_test_00110	Yuunivarsiitii Wachaamoo keessatti walitti buiinsa barattoota Oromoo fi Amaaraa irratti poolisoonni federaalaa barattoota Oromoo hedduu rasaasaan rukutanBarataan Abduubaa Tanii Tandhoo rasaasaan mataan isaa dhawamee duaa fi jireenya gidduu jiraKan ajjeefamanis jiran jedhu URL	negative
or_test_00111	Kaleessa galgala haasawa namicha kana dhageeffadhee fixee rafuun dadhaabee Gabaabuumati Ammerikkaan Diina Oromooti Gootooni dire waraana fi hayyuun Oromoo dafee waliigalee qophaauu mallee Oromoon abdii hinqabu   12URL via	negative
or_test_00112	Balaa Hoongetin Ummanni Harargee akka malee Rakkacha jira haa waalif Dirmannu	positive
or_test_00113	ODUU Gootichi WBO lola hadhaawaa dhiheenya gaggeessaa jiruun diina booch URL via	negative
or_test_00114	Hara shimallis Abdiisaaf Fiqaaduun inni galaanicha gogsina jedhesichi WBOn baduu akka  hin dandeenye communication isaanii Adaamaa jirutti himanWBO URL	negative
or_test_00115	Waraanni Biliisummaa Oromoo Zoonii Bahaa Ona mieessootti guyyoota 3n darbe kana injifannoo ajaaibaa galmeessee jiraHorsiiseBulaan keenya yoo dandae WBO haa tumsudadhabummoo gufuu itti tauu dhiisuu qabaGara diinaa gortanii seenaa gootota Harargee Hin balleessinaa jennaan	neutral
or_test_00116	WBOn  Zlixaa weerartuu konkolaataa Paatiroolii 19n Dambidoolloo irra adda facaatee gara magaalaa Gimbiitti of qaxxisaa turte naannoo addaa Dhagaa Dhaabbii jedhamutti itti marsuun amma galgala kana toora 1230 bakakkaa itti buuse hanga ammaa reeffii fi madoon lafichuma jira	negative
