дария	river
seriveri	on line data service
seriveri	server
porogisi	proxy server
yenyeli	star
tunguru	onion
shyamba	forest
shyamba	timberland
shyamba	wood
shyamba	woodland
muhira	family
muhira	nuclear family
sano	family
koga	swim
vi	knee
rizo	brush
rizo	line
rizo	queue
rizo	stalk
rizo	stem
rizo	tail
kene	poverty
Burundi	Burundi
kwavu	bunny
kwavu	cony
kwavu	rabbit
karaba	launder
karaba	wash
kuba	multiplication
oba	fear
yama	meat
sozi	hill
sozi	hillock
sozi	mound
shuti	friendship
pongo	antelope
iga	figure out
iga	instruct
iga	learn
iga	teach
guge	ape
guge	monkey
guge	primate
ihema	tent
cu	cloud
hengeri	gale
hengeri	storm
hengeri	tempest
kuba	thunder
yemera	zebra
gano	bamboo
hene	goat
hene	she-goat
va	flood
va	flow
va	run
va	stream
byina	dance
pfa	scarcity
ana	childhood
tugu	shoulder
fu	guts
fu	stomach
gagi	gorilla
tambara	war
kwibwira	conceive
kwibwira	fancy
kwibwira	imagine
kwibwira	picture
kwibwira	visualize
kina	act
kina	enact
kina	perform
kina	play
kina	speculate in stocks
mu	amongst
tegura	prepare
tegura	work up
ko	since
kire	affluent
kire	rich
kire	wealthy
kire	well-off
kire	well-to-do
bingo	cane
bingo	reed
zima	health
sa	but
sa	exclusively
sa	just
sa	merely
sa	only
sa	simply
sa	solely
nyamasyo	tortoise
nyamasyo	turtle
alimu	professor
Rwanda	Rwanda
panga	machete
bogobogo	blue
basha	be able to
basha	can
basha	may
shobora	be able to
shobora	can
shobora	may
Kwambere	Monday
to	little
to	small
mirongo itandatu	sixty
rya	eat
nywa	drink
furere	brother
shiki	sister
basha	be able to
basha	can
shobora	be able to
shobora	can
amazi	water
ezi	month
teme	bridge
Rwanda	Rwanda
pfa	die
pfa	pass away
sinzira	be asleep
sinzira	sleep
sinzira	be asleep
sinzira	sleep
sinzira	be asleep
sinzira	sleep
kugwama	sleep
shuti	friend
shuti	mate
shuti	fellow-thinker
shuti	friend
shuti	mate
shuti	fellow-thinker
shuti	friend
shuti	mate
shuti	fellow-thinker
shuti	friend
shuti	mate
Kwagatanu	Friday
Kwagatandatu	Saturday
Kwamungu	Sunday
Kwagatatu	Wednesday
Kwakane	Thursday
oya	nay
oya	no
oya	nope
oya	not
oya	nay
oya	no
oya	nope
oya	not
vi	knee
guca	cut
guca	cut off
guca	cut up
yuma	knife
seka	laugh
rira	cry
rira	weep
sakuza	cry
sakuza	cry out
sakuza	scream
sakuza	shout
yama	flesh
yama	meat
swa	ant
swa	emmet
swa	pismire
swa	ant
swa	emmet
swa	pismire
zuru	nose
kire	affluent
kire	rich
kire	wealthy
kire	well-off
kire	well-to-do
kire	affluent
kire	rich
kire	wealthy
kire	well-off
kire	well-to-do
kwavu	bunny
kwavu	cony
kwavu	hare
kwavu	rabbit
kwavu	bunny
kwavu	cony
kwavu	hare
kwavu	rabbit
akayiko	spoon
yuma	knife
yuma	knife
kere	strawberry
kere	strawberry
guca	cut
zima	health
zima	health
zima	health
zima	health
zima	health
rira	cry
rira	weep
kire	affluent
kire	rich
kire	wealthy
kire	well-off
kire	well-to-do
neke	banana
bingo	cane
bingo	reed
bingo	cane
bingo	reed
bingo	cane
bingo	reed
guge	ape
guge	monkey
guge	primate
byina	dance
inzovu	elephant
yuma	knife
ukuboko	arm
ivu	ash
Kwakabiri	Tuesday
Kwakane	Thursday
Kwagatanu	Friday
Kwagatandatu	Saturday
rimo	job
rimo	labour
rimo	work
furere	brother
furere	friar
Paul Kagame	Paul Kagame
Ubugereki	Greece
Abatutsi	Tutsi
Uetersen	Uetersen
Interahamwe	Interahamwe
Almazán	Almazán
Bibiliya	Bible
Kristendomu	Christianity
Coca-Cola	Coca-Cola
Ostrariya	Australia
Ubudage	Germany
Izuba	sun
Izuba	Sun
Azia	Asia
Ububirigi	Belgium
U Buholandi	Netherlands
Danemarke	Denmark
Kigali	Kigali
Leta Zunze Ubumwe z’Amerika	United States
Umuneke	Banana
Nijeriya	Nigeria
Rwanda	Rwanda
Burundi	Burundi
Kirundi	Kirundi
Yesu Kristo	Jesus
Perezida wa Repubulika y’u Rwanda	List of Presidents of Rwanda
Afurika	Africa
Kinyarwanda	Kinyarwanda
Ubwongereza	United Kingdom
Ubufaransa	France
Idini Ryitwa Yezu Nyakuri	True Jesus Church
Uburayi	Europe
Adamu	Adam
Abahutu	Hutu
Espanye	Spain
Obusa	0
Finirande	Finland
Ubuhinde	India
kenshi	a great deal
haruguru	above
hejuru	above
n'impamo	absolutely
Adamu	Adam
aho umuntu abarizwa	address
turanye	adjecent
ntera	adjective
foreign	aduka
Afuganisitani	Afganistan
Afurika	Africa
bukeye	afterwards
ibiri ku murongo w'ibyigwa	agenda
ibiteganyijwe	agenda
mbere	ahead
SIDA	AIDS
cyo kuyindi si	alien
guha uburenganzira	allot
buri gihe	always
cyo muri Amerika	American
Amerika	American continent
ukwezi kwa kane	April
Arabiya	Arabia
Aziya	Asia
ubwa mbere	at first
mbere na mbere	at first
ku Gisenyi	at Gisenyi
imuhira	at home
i Kigali	at Kigali
mu Ruhengeri	at Ruhengeri
ku isoko	at the biginning
ku isoko	at the market
ku isoko	at the source
Atalantika	Atlantic
ukwezi kwa munani	August
Kanama	August
Ositaraliya	Australia
Batismimu	baptism
kubera	because
kubera ko	because
mbere	beforehand
hepfo	below
munsi	below
kandi	besides
fagitire	bill
hasi	bottom
ahubwo	but rather
exponent	bwikube
kalendari	calendar
indangaminsi	calendar
SEDE	CD
SIDI	CD
rwara n yanduza	communicable disease
n'umurava	conscientiously
n'ubupfura bw'umutima	conscientiously
kungu n	copiousness
extraterrestral	cyo kuyindi si
papa	dad
papa	dad
papa	daddy
ukwezi kwa cumi n'abiri	December
Ukuboza	December
bandantego n	declension
Sekibi	Devil
Shitani	Devil
Satani	Devil
Pasika	Easter
mara v	end
ugushinga imizi	entrenchment
Uburayi	Europe
Eva	Eva
Kuva	Exodus
guhanaguraho icyaha	exonerate
uguhanagurwaho icyaha	exonerated
urabeho	farewell
ngaho	farewell
ku mana	farewell
ni ah'ikindi gihe	farewell
data	father
dawe	father
hake	feudalism
gatanu	five
kubera	for
kane	four
kenshi	frequently
ku wa gatanu	Friday
mu by'ukuri	genuinely
mu by'ukuri	hand on heart
ntakubeshye	hand on heart
ahubwo	however
nyamara	however
iyo	if
iyo	if
niba	if
ishyirwa mu bikorwa	implementation
mbere	in advance
i Kigali	in Kigali
sumbane n	inequality
ukutava ku izima	inflexibility
Interineti	Internet
fagitire	invoice
tonde nyejwi mpuzamahanga	IPA
shinga idakurikiza amategeko	irregular verb
Yezu	Jesus
ukwezi kwa karindwi	July
Nyakanga	July
ukwezi kwa gatandatu	June
Kamena	June
comet	kibonumwe
percent	ku ijana
ibumoso	left
bene	like
Nyina wa Jambo	Madonna
mama	mamma
mama	mammy
ukwezi kwa gatatu	March
gahunda	march
Mariya	Mary
Misa	mass
mama	mater
ukwezi kwa gatanu	May
cyo hagati	middle
rangamimerere	modifier
mama	mom
mama	momma
mama	mommy
ku wa mbere	Monday
kandi	moreover
pentagon	mpandeshanu ndinganire
isosceles triangle	mpandeshatu nyampanga n
on the outskirts of the town	mu nkengero z’umugi
kenshi	much
mama	mum
mama	mummy
na gato	not at all
ukwezi kwa cumi na kumwe	November
Ugushyingo	November
Oseyaniya	Oceania
ukwezi kwa cumi	October
bene ibi	of this kind
kenshi	oft
kenshi	often
kenshi	oftentimes
kenshi	ofttimes
cyataye igihe	old-fashoned
ku nkiko	on the border
ahubwo	on the contrary
rimwe	one
kubera	owing to
papa	pa
Pasifika	Pacific
papa	papa
papa	pappa
parade	parade
gahunda	parade
paradiso	Paradise
paradizo	Paradise
parallelogram	paralerogarama
papa	pater
ku ijana	percent
telefoni	phone
kino	play
papa	pop
mbanza	prefix
Umuyobozi Mukuru	President
Perezida	President
Umukuru w'Igihugu	President of Republic
Perezida wa Repubulika	President of Republic
minisitiri w'intebe	Prime Minister
uko bavuga	pronunciation
Zaburi	psalm
cyataye igihe	quaint
Kamarampaka	Referendum
shinga ikurikiza amategeko	regular verb
iburyo	right
ukutava ku izima	rigid
Kiliziya Gatolika	Roman Catholic Church
nyarwanda	Rwandan
Sabato	Sabbath
ku wa gatandatu	Saturday
ku isabato	Saturday
menyi n	science
ukwezi kwa cyenda	September
Nzeri	September
indwi	seven
karindwi	seven
kubera	since
uhereye	since
mu by'ukuri	sincerely
gatandatu	six
jyepfo y'iburengerazuba	southwest
yiko	spoon
ruhamwa	subject
ku cyumweru	Sunday
Hekaru	synagogue
telefoni	telephone
telefoni	telephone set
bukeye	the next day
gatatu	three
ku wa kane	Thursday
kugera	to
bari n	travel warrant
Ubutatu Butagatifu	Trinity
mu by'ukuri	truly
ku wa kabiri	Tuesday
cumi na kabiri	twelve
cumi na kabiri	twelve
kabiri	two
formula	uko bikorwa
Ukuboza	ukwezi kwa cumi na kabiri
Ugushyingo	ukwezi kwa cumi na kumwe
Werurwe	ukwezi kwa gatatu
ukutava ku izima	unbending
ukutava ku izima	uncompromising
Amerika	United States of America
i kantarange	very far away
Bikira Mariya	Virgin Mary
virusi	virus
WESE	water closet
wati	watt
ku wa gatatu	Wednesday
niba	wether
hanga	wizard
a	first letter in Kinyarwanda alphabet
b	the second letter in Kinyarwanda alphabet
c	the third letter in Kinyarwanda alphabet
d	the fourth letter in Kinyarwanda alphabet
e	the fifth letter in Kinyarwanda alphabet
f	sixth letter of Kinyarwanda alphabet
g	seventh letter of Kinyarwanda alphabet
h	eighth letter of Kinyarwanda alphabet
t	ninetinth letter in Kinyarwanda alphabet
u	twentieth letter in Kinyarwanda alphabet
v	twenty first letter in Kinyarwanda alphabet
w	twenty second letter in Kinyarwanda alphabet
y	twenty third letter in Kinyarwanda alphabet
z	twenty fourth letter in Kinyarwanda alphabet
tonde nyejwi mpuzamahanga	International Phonetic Alphabet
i	nineth letter of Kinyarwanda alphabet
j	tenth letter of Kinyarwanda alphabet
k	eleventh letter of Kinyarwanda alphabet
l	twelveth letter of Kinyarwanda alphabet
m	thirteenth letter of Kinyarwanda alphabet
n	fourteenth letter of Kinyarwanda alphabet
o	fifteenth letter of Kinyarwanda alphabet
p	sixteenth letter of Kinyarwanda alphabet
r	seventeenth letter of Kinyarwanda alphabet
s	eighteenth letter of Kinyarwanda alphabet
v	twenty first letter in Kinyarwanda alphabet
v	twenty first letter in Kinyarwanda alphabet
Ikinyafurikaneri	Afrikaans
Inyamuhariki	Amharic
Icyarabu	Arabic
Icyasamizi	Assamese
Inyazeribayijani	Azerbaijani
Inyazeribayijani	Azeri
Ikibelarusiya	Belarusian
Urunyabuligariya	Bulgarian
Inyebihari	Bihari
Ikibengali	Bengali
Inyebiritoni	Breton
Inyebosiniya	Bosnian
Igikatalani	Catalan
Igiceke	Czech
Ikigaluwa	Welsh
Ikidaninwa	Danish
Ikidage	German
Ikigereki	Greek
Icyongereza	English
Icyesiperanto	Esperanto
Icyesipanyolo	Spanish
Icyesitoniya	Estonian
Ikibasiki	Basque
Inyeperisi	Persian
Igifinilande	Finnish
Ikinyafilipine	Filipino
Inyefaroyizi	Faroese
Igifaransa	French
Igifiriziyani	Western Frisian
Ikirilandi	Irish
Ikigaluwa cy’Igisweduwa	Scottish Gaelic
Ikigalisiya	Galician
Inyaguwarani	Guarani
Inyegujarati	Gujarati
Igiheburayo	Hebrew
Igihindi	Hindi
Igikorowasiya	Croatian
Igihongiriya	Hungarian
Ikinyarumeniya	Armenian
Ururimi Gahuzamiryango	Interlingua
Ikinyendoziya	Indonesian
Uruhuzandimi	Interlingue
Igisilande	Icelandic
Igitaliyani	Italian
Ikiyapani	Japanese
Inyejava	Javanese
Inyejeworujiya	Georgian
Igikambodiya	Khmer
Igikanada	Kannada
Igikoreya	Korean
Inyekuridishi	Kurdish
Inkerigizi	Kirghiz
Ikilatini	Latin
Ilingala	Lingala
Ikilawotiyani	Lao
Ikilituwaniya	Lithuanian
Ikinyaletoviyani	Latvian
Ikimasedoniyani	Macedonian
Ikimalayalami	Malayalam
Ikimongoli	Mongolian
Ikimarati	Marathi
Ikimalayi	Malay
Ikimaliteze	Maltese
Ikinepali	Nepali
Ikinerilande	Dutch
Inyenoruveji (Nyonorusiki)	Norwegian Nynorsk
Ikinoruveji	Norwegian
Inyogusitani	Occitan
Inyoriya	Oriya
Igipunjabi	Punjabi
Igipolone	Polish
Impashito	Pushto
Impashito	Pashto
Igiporutugali	Portuguese
Inyeporutigali (Brezili)	Brazilian Portuguese
Inyeporutigali (Igiporutigali)	Iberian Portuguese
Ikinyarumaniya	Romanian
Ikirusiya	Russian
Igisansikiri	Sanskrit
Igisindi	Sindhi
Inyeseribiya na Korowasiya	Serbo-Croatian
Inyesimpaleze	Sinhala
Igisilovaki	Slovak
Ikinyasiloveniya	Slovenian
Igisomali	Somali
Icyalubaniya	Albanian
Igiseribe	Serbian
Inyesesoto	Southern Sotho
Inyesudani	Sundanese
Igisuweduwa	Swedish
Igiswahili	Swahili
Igitamili	Tamil
Igitelugu	Telugu
Igitayi	Thai
Inyatigirinya	Tigrinya
Inyeturukimeni	Turkmen
Inyekilingoni	Klingon
Igiturukiya	Turkish
Inyetuwi	Twi
Ikiwiguri	Uighur
Ikiwiguri	Uyghur
Ikinyayukereni	Ukrainian
Inyeyurudu	Urdu
Inyeyuzubeki	Uzbek
Ikinyaviyetinamu	Vietnamese
Inyehawusa	Xhosa
Inyeyidishi	Yiddish
Inyezulu	Zulu
Kinyarwanda	Kinyarwanda
Kirundi	Kirundi
kuba	be
kuba	become
ba	be
ba	become
igihugu cyacu	country
hugu cyacu	country
tare	lion
intare	lion
jangwe	cat
injangwe	cat
gwe	leopard
ingwe	leopard
imambo	tent pegs
mambo	tent pegs
gusimura	polish
simura	polish
umucuzi	broth
cuzi	broth
sunika	poke
gusunika	poke
ikyimwaro	shame
imwaro	shame
agatwe	point
agatwe	tip
gatwe	point
gatwe	tip
inkomangizo	peg
komangizo	peg
umugaga	canine
umugaga	canine tooth
gaga	canine
gaga	canine tooth
swa	termite
umuswa	termite
swa	ant-hill
igiswa	ant-hill
umubiri	skin
biri	skin
igishishwa	skin
shishwa	skin
kuruma	bite
ruma	bite
samakyi	fish
isamakyi	fish
kumesa	wash
mesa	wash
kwiyuhagira	take a bath
kwiyuhagira	wash
iyuhagira	take a bath
iyuhagira	wash
ikibanza	plot of ground
banza	plot of ground
umusi	day
si	day
kureberera	care for
kureberera	look after
reberera	care for
reberera	look after
amara	intestines
ra	intestines
inda	belly
inda	stomach
da	belly
da	stomach
kuryana	lie down
ryana	lie down
kuryanana	copulate
kuryanana	have sexual intercourse
ryanana	copulate
ryanana	have sexual intercourse
kumara igihe	spend time
mara igihe	spend time
urutindo	bridge
urutindo	bridge
tindo	bridge
igikari	courtyard
kari	courtyard
kwirambura	stretch oneself
irambura	stretch oneself
kunanura	be spread out
nanura	be spread out
ikyirekyire	long
irekyire	long
zoka	serpent
zoka	snake
inzoka	serpent
inzoka	snake
unomusi	today
nomusi	today
ubwanwa	beard
bwanwa	beard
kutiyegereza	avoid
tiyegereza	avoid
kulemira	burden
kulemira	be burdensome
kulemira	rest heavily on
lemira	burden
lemira	be burdensome
lemira	rest heavily on
kubaha	honor
baha	honor
kulemara	be lame
lemara	be lame
ikirema	cripple
rema	cripple
kunanura	make straight
nanura	make straight
rya	eat
kurya	eat
ukuboko kwaburyo	righthand
kuboko kwaburyo	righthand
umutego	snare
umutego	trap
tego	snare
tego	trap
imbele	in front of
bele	in front of
rira	cry
rira	wail
kurira	cry
kurira	wail
buriri	bedstead
uburiri	bedstead
igitanda	bed
tanda	bed
amaganya	sorrow
amaganya	grief
maganya	sorrow
maganya	grief
ururimi	tongue
rimi	tongue
akazi	work
kazi	work
zi	root
umuzi	root
mabere	breast
amabere	breast
kurigiita	sink
rigiita	sink
kuzura	bring to light
zura	bring to light
guhagara	come to a halt
guhagara	pull up
hagara	come to a halt
hagara	pull up
era	white man
umwera	white man
kuzibya	stop up
kuzibya	fill a hole
zibya	stop up
zibya	fill a hole
igitega	pool
tega	pool
inyanja	lake
nyanja	lake
guhamba	bury
hamba	bury
ichebe	udder
chebe	udder
kuzimya	extinguish
kuzimya	quench
zimya	extinguish
zimya	quench
bura	get lost
kubura	get lost
umuzimu	spirit
zimu	spirit
kwizenguruka	surround
izenguruka	surround
guhotora	twist
hotora	twist
guhonyora	bend
guhonyora	twist
honyora	bend
honyora	twist
kuzinguriza	wind up
zinguriza	wind up
urugobe	fishhook
gobe	fishhook
amata	milk
mata	milk
kuroba	fish
roba	fish
kuvundura	pull out
kuvundura	fish up
vundura	pull out
vundura	fish up
roga	bewitch
kuroga	bewitch
uburozi	witchcraft
burozi	witchcraft
rozi	sorcerer
umurozi	sorcerer
gutonyanga	drizzle
tonyanga	drizzle
umunwa	lip
nwa	lip
kwagara	itch
agara	itch
ikivuguto	curdled milk
vuguto	curdled milk
kurinda	look for
kurinda	hand around
rinda	look for
rinda	hand around
igisebe	sore
sebe	sore
kugira neza	arrange
kugira neza	put right
kugira neza	repair
gira neza	arrange
gira neza	put right
gira neza	repair
kurangira	guide aright
rangira	guide aright
kwegeranya	pack
kwegeranya	press together
egeranya	pack
egeranya	press together
zi	river
uruzi	river
ikivuguto	buttermilk
vuguto	buttermilk
umugezi	well
gezi	well
bare	number
umubare	number
umupfunyo	furrow
umupfunyo	groove
pfunyo	furrow
pfunyo	groove
inyiriri	line
inyiriri	row
nyiriri	line
nyiriri	row
ishongo	one-eyed
shongo	one-eyed
inzozi	dream
zozi	dream
kurwaana	fight
rwaana	fight
kuneshya	overcome
kuneshya	vanquish
kuneshya	win
neshya	overcome
neshya	vanquish
neshya	win
kwica	kill
ica	kill
guteza	put to death
teza	put to death
gukinja	slaughter
kinja	slaughter
indurwe	bile
durwe	bile
uruhago rwindurwe	bladder
hago rwindurwe	bladder
kuruka	vomit
ruka	vomit
kuboha	plait
boha	plait
ikyigabo	male
igabo	male
gabo	husband
umugabo	husband
ikibero	thigh
bero	thigh
kurundanya	construct
kurundanya	put together
rundanya	construct
rundanya	put together
kunyura	pass
kunyura	surpass
nyura	pass
nyura	surpass
kwiyambura	take off
iyambura	take off
kwambara	wear
ambara	wear
kwifubika	clothe
ifubika	clothe
ingashi	paddle
gashi	paddle
kuvuguta	blow bellows
vuguta	blow bellows
kuvumera	roar
kuvumera	rumble
vumera	roar
vumera	rumble
imbeba	rat
beba	rat
kunuka	smell
nuka	smell
umucucu	cloud of dust
umucucu	dust
cucu	cloud of dust
cucu	dust
gukurura	pull
kurura	pull
kugaba	divide
gaba	divide
guha	give away
subirayo	go back
subirayo	return
gusubirayo	go back
gusubirayo	return
kugarama	lie on one’s back
garama	lie on one’s back
kubwiira	say
kubwiira	tell
bwiira	say
bwiira	tell
vuga	speak
kuvuga	speak
impanvu	affair
panvu	affair
umuryango	clan
ryango	clan
umukondo	navel
kondo	navel
ganza	palm
ikiganza	palm
ti	remedy
ti	medicine
umuti	remedy
umuti	medicine
umucunnyi	medicine man
cunnyi	medicine man
kuunga	bind up
kuunga	splice
unga	bind up
unga	splice
zingahe	how many
ichyuma	iron
chyuma	iron
umuringa	brass
umuringa	copper
ringa	brass
ringa	copper
uma cy’ ubutare	steel
ikyuma cy’ ubutare	steel
iryinyo	tooth
ryinyo	tooth
umushitsi	guest
umushitsi	stranger
shitsi	guest
shitsi	stranger
genda	go
kugenda	go
kudenga kumaguru	walk
denga kumaguru	walk
ikibi	bad
bi	bad
genda	travel
kugenda	travel
urugyendo	journey
gyendo	journey
genda	movement
ukugenda	movement
i	egg
igyi	egg
igikorwa	act
korwa	act
kwigana	imitate
igana	imitate
icyaro	village
cyaro	village
buga	town
ikibuga	town
sazi	fly
isazi	fly
kwima	withhold from
ima	withhold from
kujeema	abstain
jeema	abstain
ikyinyabyaha	wicked
inyabyaha	wicked
iziiko	fireplace
iziiko	hearth
iziiko	kitchen
ziiko	fireplace
ziiko	hearth
ziiko	kitchen
izina	name
zina	name
ihuzi	string
huzi	string
gukurikiza	copy a pattern
kurikiza	copy a pattern
ingoma	drum
goma	drum
ka	cow
inka	cow
ka	cattle
inka	cattle
tama	sheep
intama	sheep
ifarasi	horse
farasi	horse
imbata	duck
bata	duck
ikibore	rotten
bore	rotten
ingougori	millipede
gougori	millipede
isaki	cock
isaki	rooster
saki	cock
saki	rooster
dogobe	donkey
indogobe	donkey
interege	zebra
terege	zebra
akanyamaksyo	tortoise
kanyamaksyo	tortoise
urukwaavu	hare
kwaavu	hare
umutubu	frog
tubu	frog
roroma	snore
roroma	snort
kuroroma	snore
kuroroma	snort
gongo	back
umugongo	back
uruti rw’imugongo	backbone
ti rw’imugongo	backbone
kugwa hasi	fall
gwa hasi	fall
igitambaaro	cloth
tambaaro	cloth
gucusa	boil
cusa	boil
imyenda	clothes
imyenda	material
myenda	clothes
myenda	material
kugura	buy
gura	buy
kuguriisha	sell
guriisha	sell
juru	sky
ijuru	sky
umucyo	light
umucyo	sky
cyo	light
cyo	sky
igichu	cloud
chu	cloud
agatwe	peak
agatwe	top
gatwe	peak
gatwe	top
agasongero	utmost
agasongero	highest point
songero	utmost
songero	highest point
igihorihori	crown of the head
horihori	crown of the head
sozi	hill
umusozi	hill
guhamagara	call
hamagara	call
ukuguru	foot
ukuguru	leg
kuguru	foot
kuguru	leg
ingurube	pig
gurube	pig
ingumba	barren
gumba	barren
ingumba	sterile person
gumba	sterile person
umurima	garden
rima	garden
invubu	hippopotamus
vubu	hippopotamus
inkura ruhembe	rhinoceros
kura ruhembe	rhinoceros
kwambuka	cross
ambuka	cross
kwirukana	chase
kwirukana	chase away
irukana	chase
irukana	chase away
inzara	hunger
zara	hunger
gasasiiro	rubbish heap
sasiiro	rubbish heap
amazi	water
mazi	water
urwara	fingernail
ara	fingernail
inzira	path
zira	path
umuhanda	highway
handa	highway
inzozi	vision
zozi	vision
ikiroto	dream
roto	dream
zovu	elephant
inzovu	elephant
ijwi	voice
jwi	voice
urusaku	cry
urusaku	sound
saku	cry
saku	sound
ubutojo	smallpox
butojo	smallpox
zuba	sun
izuba	sun
amakara	charcoal
makara	charcoal
ingara	crab
gara	crab
igishirira	embers
shirira	embers
itazi	ashes
tazi	ashes
umugore	woman
gore	woman
umugore	wife
gore	wife
